specie	km
Boidae	10
PotentialUsers	10
Dasypodidae	10.5
PotentialUsers	10.5
Cthous	10.5
PotentialUsers	10.5
Dasypodidae	10.5
PotentialUsers	10.5
Boidae	11
Cthous	11
PotentialUsers	11
PotentialUsers	11
Boidae	11
Cthous	11
Cthous	11
Cthous	11
PotentialUsers	11
PotentialUsers	11
PotentialUsers	11
PotentialUsers	11
Boidae	11
Cthous	11
Cthous	11
PotentialUsers	11
PotentialUsers	11
PotentialUsers	11
Boidae	11
PotentialUsers	11
Cthous	11.5
Cinsidiosus	11.5
PotentialUsers	11.5
PotentialUsers	11.5
Pcancrivorus	11.5
PotentialUsers	11.5
Cthous	11.5
PotentialUsers	11.5
Boidae	12
PotentialUsers	12
Boidae	12
Boidae	12
Cthous	12
Cthous	12
Cinsidiosus	12
Dasypodidae	12
Daurita	12
Daurita	12
Daurita	12
Pcancrivorus	12
Pcancrivorus	12
PotentialUsers	12
PotentialUsers	12
PotentialUsers	12
PotentialUsers	12
PotentialUsers	12
PotentialUsers	12
PotentialUsers	12
PotentialUsers	12
PotentialUsers	12
PotentialUsers	12
PotentialUsers	12
Daurita	12
PotentialUsers	12
Cthous	12.5
Cinsidiosus	12.5
Daurita	12.5
Daurita	12.5
Hhydrochaeris	12.5
Pcancrivorus	12.5
Ttetradactyla	12.5
PotentialUsers	12.5
PotentialUsers	12.5
PotentialUsers	12.5
PotentialUsers	12.5
PotentialUsers	12.5
PotentialUsers	12.5
PotentialUsers	12.5
PotentialUsers	12.5
Cinsidiosus	12.5
PotentialUsers	12.5
Boidae	13
Cinsidiosus	13
Daurita	13
Daurita	13
Ttetradactyla	13
PotentialUsers	13
PotentialUsers	13
PotentialUsers	13
PotentialUsers	13
PotentialUsers	13
Dasypodidae	13
PotentialUsers	13
Daurita	13
Daurita	13
Daurita	13
Daurita	13
Smerianae	13
Ttetradactyla	13
PotentialUsers	13
PotentialUsers	13
PotentialUsers	13
PotentialUsers	13
PotentialUsers	13
PotentialUsers	13
Dasypodidae	13
Ttetradactyla	13
PotentialUsers	13
PotentialUsers	13
Pcancrivorus	13
PotentialUsers	13
Boidae	13.5
Boidae	13
Ttetradactyla	13.5
PotentialUsers	13.5
PotentialUsers	13.5
PotentialUsers	13.5
Dasypodidae	13
PotentialUsers	13
Boidae	14
PotentialUsers	14
Cinsidiosus	14
Daurita	14
Daurita	14
Pcancrivorus	14
PotentialUsers	14
PotentialUsers	14
PotentialUsers	14
PotentialUsers	14
PotentialUsers	14
Daurita	14.5
PotentialUsers	14.5
Boidae	15
Cinsidiosus	15
Daurita	15
PotentialUsers	15
PotentialUsers	15
PotentialUsers	15
Daurita	15.5
PotentialUsers	15.5
Boidae	16
Boidae	16
Daurita	16
Daurita	16
PotentialUsers	16
PotentialUsers	16
PotentialUsers	16
PotentialUsers	16
Boidae	16.5
PotentialUsers	16.5
Boidae	16.5
Boidae	16.5
Daurita	16.5
PotentialUsers	16.5
PotentialUsers	16.5
PotentialUsers	16.5
Daurita	17
Hhydrochaeris	17
PotentialUsers	17
PotentialUsers	17
PotentialUsers	17
Boidae	17
PotentialUsers	17
PotentialUsers	17
Daurita	17.5
PotentialUsers	17.5
Hhydrochaeris	17.5
PotentialUsers	17.5
PotentialUsers	17.5
Daurita	17.5
PotentialUsers	17.5
Daurita	17.5
PotentialUsers	17.5
Daurita	18
Daurita	18
PotentialUsers	18
PotentialUsers	18
Cthous	18
Cthous	18
PotentialUsers	18
PotentialUsers	18
Boidae	18
Boidae	18
Cthous	18
Cthous	18
Cthous	18
Cthous	18
Daurita	18
Daurita	18
Daurita	18
Daurita	18
Daurita	18
Daurita	18
Daurita	18
Daurita	18
Hhydrochaeris	18
Llongicaudis	18
Ttetradactyla	18
Ttetradactyla	18
PotentialUsers	18
PotentialUsers	18
PotentialUsers	18
PotentialUsers	18
PotentialUsers	18
PotentialUsers	18
PotentialUsers	18
PotentialUsers	18
PotentialUsers	18
PotentialUsers	18
PotentialUsers	18
PotentialUsers	18
PotentialUsers	18
PotentialUsers	18
PotentialUsers	18
PotentialUsers	18
PotentialUsers	18
PotentialUsers	18
Boidae	18
PotentialUsers	18
Boidae	18.5
Cthous	18.5
PotentialUsers	18.5
PotentialUsers	18.5
Boidae	18.5
Boidae	18.5
Boidae	18.5
Cinsidiosus	18.5
Dasypodidae	18.5
Daurita	18.5
Daurita	18.5
Daurita	18.5
Daurita	18.5
PotentialUsers	18.5
PotentialUsers	18.5
PotentialUsers	18.5
PotentialUsers	18.5
PotentialUsers	18.5
PotentialUsers	18.5
PotentialUsers	18.5
PotentialUsers	18.5
PotentialUsers	18.5
Cthous	18.5
Cinsidiosus	18.5
Daurita	18.5
PotentialUsers	18.5
PotentialUsers	18.5
PotentialUsers	18.5
Boidae	18.5
Daurita	18.5
Daurita	18.5
PotentialUsers	18.5
PotentialUsers	18.5
PotentialUsers	18.5
Boidae	19
Cthous	19
Cinsidiosus	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
Boidae	19
Boidae	19
PotentialUsers	19
PotentialUsers	19
Boidae	19
Boidae	19
Boidae	19
Boidae	19
Cthous	19
Cinsidiosus	19
Cinsidiosus	19
Cinsidiosus	19
Dasypodidae	19
Daurita	19
Daurita	19
Daurita	19
Daurita	19
Daurita	19
Daurita	19
Daurita	19
Daurita	19
Daurita	19
Daurita	19
Daurita	19
Daurita	19
Hhydrochaeris	19
Hhydrochaeris	19
Ttetradactyla	19
Ttetradactyla	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
PotentialUsers	19
Boidae	19
Cinsidiosus	19
PotentialUsers	19
PotentialUsers	19
Daurita	19
Daurita	19
PotentialUsers	19
PotentialUsers	19
Cthous	19.5
Cthous	19.5
Cthous	19.5
Daurita	19.5
Pcancrivorus	19.5
PotentialUsers	19.5
PotentialUsers	19.5
PotentialUsers	19.5
PotentialUsers	19.5
PotentialUsers	19.5
Daurita	19.5
PotentialUsers	19.5
Daurita	19.5
PotentialUsers	19.5
Cthous	19.5
Cinsidiosus	19.5
Pcancrivorus	19.5
Sbrasiliensis	19.5
PotentialUsers	19.5
PotentialUsers	19.5
PotentialUsers	19.5
PotentialUsers	19.5
Daurita	19.5
PotentialUsers	19.5
Daurita	20
Daurita	20
PotentialUsers	20
PotentialUsers	20
Boidae	20
Cthous	20
Cinsidiosus	20
Cinsidiosus	20
Daurita	20
Daurita	20
Daurita	20
Daurita	20
Daurita	20
Pcancrivorus	20
PotentialUsers	20
PotentialUsers	20
PotentialUsers	20
PotentialUsers	20
PotentialUsers	20
PotentialUsers	20
PotentialUsers	20
PotentialUsers	20
PotentialUsers	20
PotentialUsers	20
Cthous	20
PotentialUsers	20
Daurita	20.5
Daurita	20.5
PotentialUsers	20.5
PotentialUsers	20.5
Cthous	20.5
Daurita	20.5
Hhydrochaeris	20.5
Ttetradactyla	20.5
PotentialUsers	20.5
PotentialUsers	20.5
PotentialUsers	20.5
PotentialUsers	20.5
Daurita	20.5
PotentialUsers	20.5
Daurita	20.5
PotentialUsers	20.5
Cthous	21
Cthous	21
PotentialUsers	21
PotentialUsers	21
Boidae	21
PotentialUsers	21
Boidae	21
Cthous	21
Daurita	21
Daurita	21
Daurita	21
PotentialUsers	21
PotentialUsers	21
PotentialUsers	21
PotentialUsers	21
PotentialUsers	21
Cthous	21.5
Cinsidiosus	21.5
PotentialUsers	21.5
PotentialUsers	21.5
Cthous	22
Cinsidiosus	22
Daurita	22
Daurita	22
Daurita	22
Daurita	22
Daurita	22
Daurita	22
Hhydrochaeris	22
PotentialUsers	22
PotentialUsers	22
PotentialUsers	22
PotentialUsers	22
PotentialUsers	22
PotentialUsers	22
PotentialUsers	22
PotentialUsers	22
PotentialUsers	22
Boidae	22.5
Cthous	22.5
PotentialUsers	22.5
PotentialUsers	22.5
Ttetradactyla	22.5
PotentialUsers	22.5
Cthous	22.5
Cthous	22.5
Daurita	22.5
Pcancrivorus	22.5
Sbrasiliensis	22.5
Ttetradactyla	22.5
PotentialUsers	22.5
PotentialUsers	22.5
PotentialUsers	22.5
PotentialUsers	22.5
PotentialUsers	22.5
PotentialUsers	22.5
Cthous	23
PotentialUsers	23
Cthous	23
PotentialUsers	23
Cthous	23
Cinsidiosus	23
Daurita	23
Daurita	23
Daurita	23
Daurita	23
Daurita	23
Daurita	23
Daurita	23
Daurita	23
Daurita	23
Daurita	23
PotentialUsers	23
PotentialUsers	23
PotentialUsers	23
PotentialUsers	23
PotentialUsers	23
PotentialUsers	23
PotentialUsers	23
PotentialUsers	23
PotentialUsers	23
PotentialUsers	23
PotentialUsers	23
PotentialUsers	23
Boidae	23
Daurita	23
PotentialUsers	23
PotentialUsers	23
Daurita	23.5
PotentialUsers	23.5
Boidae	23.5
Daurita	23.5
Hhydrochaeris	23.5
PotentialUsers	23.5
PotentialUsers	23.5
PotentialUsers	23.5
Daurita	23.5
PotentialUsers	23.5
Dasypodidae	24
Daurita	24
Daurita	24
Daurita	24
PotentialUsers	24
PotentialUsers	24
PotentialUsers	24
PotentialUsers	24
Boidae	24
Boidae	24
Cthous	24
Cinsidiosus	24
Daurita	24
Daurita	24
Daurita	24
Daurita	24
Daurita	24
Daurita	24
Daurita	24
Daurita	24
Daurita	24
Daurita	24
Daurita	24
Daurita	24
Daurita	24
PotentialUsers	24
PotentialUsers	24
PotentialUsers	24
PotentialUsers	24
PotentialUsers	24
PotentialUsers	24
PotentialUsers	24
PotentialUsers	24
PotentialUsers	24
PotentialUsers	24
PotentialUsers	24
PotentialUsers	24
PotentialUsers	24
PotentialUsers	24
PotentialUsers	24
PotentialUsers	24
PotentialUsers	24
Cthous	24
Dasypodidae	24
Daurita	24
PotentialUsers	24
PotentialUsers	24
PotentialUsers	24
Dasypodidae	24.5
PotentialUsers	24.5
Cthous	24.5
Daurita	24.5
Daurita	24.5
PotentialUsers	24.5
PotentialUsers	24.5
PotentialUsers	24.5
Daurita	24.5
PotentialUsers	24.5
Cthous	24.5
Cinsidiosus	24.5
Cinsidiosus	24.5
Daurita	24.5
PotentialUsers	24.5
PotentialUsers	24.5
PotentialUsers	24.5
PotentialUsers	24.5
Daurita	25
Daurita	25
PotentialUsers	25
PotentialUsers	25
Cinsidiosus	25
Daurita	25
PotentialUsers	25
PotentialUsers	25
Cthous	25
Daurita	25
Daurita	25
Daurita	25
PotentialUsers	25
PotentialUsers	25
PotentialUsers	25
PotentialUsers	25
Daurita	25.5
PotentialUsers	25.5
Daurita	26
PotentialUsers	26
Sbrasiliensis	26
PotentialUsers	26
Cthous	26
Cinsidiosus	26
Cinsidiosus	26
Cinsidiosus	26
Daurita	26
Daurita	26
Daurita	26
Daurita	26
Daurita	26
Daurita	26
Daurita	26
Daurita	26
Daurita	26
Daurita	26
Daurita	26
Daurita	26
Daurita	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
Cinsidiosus	26
PotentialUsers	26
Daurita	26.5
PotentialUsers	26.5
Cinsidiosus	26.5
Cinsidiosus	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
Cinsidiosus	26.5
Cinsidiosus	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
