km	x	y
0	364913.92	7753425.94
0.5	365354.05	7753232.244
1	365744.855	7752897.423
1.5	365911.878	7752453.375
2	366070.165	7751907.125
2.5	366003.422	7751486.79
3	365919.084	7750881.053
3.5	365720.305	7750443.654
4	365304.845	7750214.168
4.5	364899.924	7749999.005
5	364831.049	7749498.483
5.5	364764.915	7749006.294
6	364686.111	7748487.878
6.5	364605.725	7748028.828
7	364332.885	7747689.395
7.5	364101.251	7747309.904
8	363836.052	7746786.442
8.5	363628.19	7746378.035
9	363382.836	7745897.476
9.5	363174.565	7745473.025
10	362943.767	7744996.136
10.5	362706.638	7744612.421
11	362352.155	7744272.296
11.5	362056.018	7743849.498
12	361752.106	7743490.169
12.5	361583.038	7743003.659
13	361503.025	7742513.116
13.5	361430.897	7742017.291
14	361350.896	7741526.747
14.5	361270.34	7741036.196
15	361188.732	7740537.917
15.5	361108.752	7740046.776
16	361028.209	7739556.817
16.5	360943.405	7739040.694
17	360869.203	7738598.29
17.5	360761.982	7738087.327
18	360449.364	7737714.236
18.5	360095.425	7737331.298
19	359798.014	7736950.003
19.5	359510.388	7736537.31
20	359234.941	7736142.526
20.5	358988.059	7735678.495
21	358894.755	7735186.038
21.5	358905.503	7734698.002
22	358918.523	7734205.828
22.5	358751.671	7733744.827
23	358535.315	7733249.565
23.5	358238.789	7732909.809
24	357844.96	7732565.08
24.5	357726.22	7732110.404
25	357767.558	7731581.647
25.5	357796.037	7731118.697
26	357586.092	7730667.414
26.5	357198.131	7730364.876
27	356764.578	7730030.472
27.5	356414.993	7729757.928
28	355985.966	7729421.164
28.5	355664.257	7729096.582
29	355366.241	7728684.305
29.5	355079.284	7728288.744
30	354709.727	7727807.552
30.5	354425.308	7727380.526
31	354173.835	7727026.818
31.5	353835.022	7726554.181
32	353599.538	7726230.292
32.5	353323.933	7725825.291
33	353108.1	7725365.573
33.5	352899.99	7724919.577
34	352675.958	7724440.777
34.5	352476.1	7724013.254
35	352242.785	7723575.935
35.5	351882.259	7723234.895
36	351540.522	7722857.191
36.5	351463.714	7722368.373
37	351409.971	7721864.317
37.5	351360.497	7721384.051
38	351293.407	7720872.75
38.5	351182.265	7720412.133
39	350993.659	7719923.516
39.5	350793.926	7719493.591
40	350227.571	7719302.125
40.5	349805.029	7719602.441
41	349354.018	7719770.064
41.5	348854.391	7719870.73
42	348391.193	7719961.018
42.5	347928.979	7720190.266
43	347453.639	7720199.062
43.5	346943.183	7720257.411
44	346464.736	7720300.001
44.5	345961.518	7720176.07
45	345472.064	7720137.767
45.5	344968.026	7720165.828
46	344598.104	7719896.982
46.5	344335.445	7719456.296
47	344185.466	7718984.571
47.5	343899.251	7718615.518
48	343415.342	7718405.572
48.5	342966.418	7718282.642
49	342609.159	7717982.388
49.5	342104.797	7717930.778
50	341622.408	7717980.912
50.5	341265.216	7717676.471
51	340796.101	7717325.834
51.5	340502.743	7716894.884
52	340061.989	7716859.844
52.5	339681.832	7716506.45
53	339344.557	7716171.864
53.5	338893.074	7715973.964
54	338524.07	7715686.568
54.5	338047.546	7715478.904
55	337643.861	7715254.701
55.5	337568.996	7714784.807
56	337431.418	7714326.782
56.5	337120.187	7713966.857
57	336856.248	7713572.935
57.5	336872.742	7713080.161
58	337156.151	7712670.732
58.5	337170.841	7712190.412
59	337077.546	7711722.711
59.5	337259.706	7711262.417
60	337258.199	7710838.955
60.5	336902.465	7710465.524
61	336544.012	7710143.727
61.5	336155.647	7709796.093
62	335904.546	7709355.949
62.5	335849.51	7708867.227
63	335865.057	7708360.781
63.5	336136.643	7707956.006
64	336440.201	7707537.285
64.5	336888.004	7707396.119
65	337378.731	7707264.265
65.5	337687.595	7706928.128
66	337979.922	7706567.476
66.5	338313.092	7706199.492
67	338371.719	7705737.41
67.5	338582.614	7705825.548
