Dia;Mês;Ano;spp;km
15;1;2004;Euphractus sexcinctus;45
16;1;2004;Procyon cancrivorus;59
20;1;2004;Procyon cancrivorus;45
20;1;2004;Salvator merianae;45
21;1;2004;Sylvilagus brasiliensis;45
22;1;2004;Dasypus sp.;59
22;1;2004;Procyon cancrivorus;45
22;1;2004;Coendou insidiosus;59
22;1;2004;Sylvilagus brasiliensis;45
23;1;2004;Cerdocyon thous;45
18;2;2004;Procyon cancrivorus;45
10;3;2004;Eira barbara;45
10;3;2004;Procyon cancrivorus;45
10;3;2004;Sylvilagus brasiliensis;45
15;3;2004;Cerdocyon thous;45
15;3;2004;Procyon cancrivorus;45
15;3;2004;Sylvilagus brasiliensis;45
21;3;2004;Procyon cancrivorus;45
22;3;2004;Cerdocyon thous;45
22;3;2004;Sylvilagus brasiliensis;45
26;3;2004;Sylvilagus brasiliensis;45
29;3;2004;Cerdocyon thous;45
29;3;2004;Cerdocyon thous;45
29;3;2004;Procyon cancrivorus;45
30;3;2004;Sylvilagus brasiliensis;45
1;4;2004;Sylvilagus brasiliensis;45
2;4;2004;Procyon cancrivorus;45
5;4;2004;Cerdocyon thous;59
16;4;2004;Dasypus sp.;45
19;4;2004;Dasypus sp.;45
20;4;2004;Dasypus sp.;45
20;4;2004;Procyon cancrivorus;45
22;4;2004;Cerdocyon thous;45
22;4;2004;Procyon cancrivorus;45
3;5;2004;Procyon cancrivorus;45
3;5;2004;Procyon cancrivorus;45
5;5;2004;Sylvilagus brasiliensis;45
7;5;2004;Procyon cancrivorus;45
10;5;2004;Salvator merianae;45
11;5;2004;Cerdocyon thous;45
12;5;2004;Cuniculus paca;59
12;5;2004;Hydrochoerus hydrochaeris;59
19;5;2004;Sylvilagus brasiliensis;45
26;5;2004;Procyon cancrivorus;45
26;5;2004;Procyon cancrivorus;45
31;5;2004;Procyon cancrivorus;45
1;6;2004;Dasypus sp.;45
3;6;2004;Cerdocyon thous;45
3;6;2004;Procyon cancrivorus;45
9;6;2004;Lontra longicaudis;59
9;6;2004;Procyon cancrivorus;59
11;6;2004;Cerdocyon thous;45
11;6;2004;Dasypus sp.;59
11;6;2004;Procyon cancrivorus;45
14;6;2004;Dasypus sp.;59
15;6;2004;Procyon cancrivorus;45
15;6;2004;Procyon cancrivorus;45
21;6;2004;Dasypus sp.;45
24;6;2004;Cerdocyon thous;59
24;6;2004;Procyon cancrivorus;45
24;6;2004;Procyon cancrivorus;59
24;6;2004;Procyon cancrivorus;59
30;6;2004;Dasypus sp.;45
6;7;2004;Procyon cancrivorus;45
6;7;2004;Procyon cancrivorus;45
9;7;2004;Cerdocyon thous;45
9;7;2004;Procyon cancrivorus;45
9;7;2004;Procyon cancrivorus;45
9;7;2004;Procyon cancrivorus;45
14;7;2004;Procyon cancrivorus;59
16;7;2004;Cerdocyon thous;45
27;7;2004;Cerdocyon thous;45
27;7;2004;Procyon cancrivorus;45
27;7;2004;Procyon cancrivorus;45
28;7;2004;Didelphis aurita;45
29;7;2004;Procyon cancrivorus;45
30;7;2004;Procyon cancrivorus;45
30;7;2004;Procyon cancrivorus;45
2;8;2004;Procyon cancrivorus;45
2;8;2004;Procyon cancrivorus;45
3;8;2004;Procyon cancrivorus;45
4;8;2004;Procyon cancrivorus;45
9;8;2004;Procyon cancrivorus;45
9;8;2004;Procyon cancrivorus;45
