spp;year;segment
Procyon cancrivorus;2004;35.5
Boa constrictor;2004;50
Corallus hortulanus;2004;47
Boa constrictor;2004;50
Cerdocyon thous;2004;46
Didelphis aurita;2004;45.5
Boa constrictor;2004;10
Procyon cancrivorus;2004;61
Procyon cancrivorus;2004;22.5
Corallus hortulanus;2004;56
Chaetomys subspinosus;2004;43
Cerdocyon thous;2004;11
Cerdocyon thous;2004;11
Boa constrictor;2004;45.5
Cerdocyon thous;2004;55.5
Cerdocyon thous;2004;37
Boa constrictor;2004;15
Didelphis aurita;2004;47.5
Epicrates cenchria ;2004;56
Cerdocyon thous;2004;51
Cerdocyon thous;2004;57
Tamandua tetradactyla;2004;63
Didelphis aurita;2004;27
Cerdocyon thous;2004;60
Cerdocyon thous;2004;40
Epicrates cenchria ;2004;50
Cerdocyon thous;2004;63
Cerdocyon thous;2004;39
Eira barbara;2004;60.5
Cerdocyon thous;2004;51.5
Coendou insidiosus;2004;44
Boa constrictor;2004;21
Cerdocyon thous;2004;50
Boa constrictor;2004;29
Cerdocyon thous;2004;39
Cerdocyon thous;2004;39
Cerdocyon thous;2004;21
Cerdocyon thous;2004;35
Tamandua tetradactyla;2004;45.5
Boa constrictor;2004;36
Boa constrictor;2004;51
Boa constrictor;2004;11
Boa constrictor;2004;65
Corallus hortulanus;2004;62
Boa constrictor;2004;22.5
Didelphis aurita;2004;34
Cerdocyon thous;2004;27.5
Cerdocyon thous;2004;27
Didelphis aurita;2004;49.5
Boa constrictor;2004;45.5
Cerdocyon thous;2004;10.5
Coendou insidiosus;2004;31.5
Cerdocyon thous;2004;61
Cariama cristata;2004;41
Epicrates cenchria ;2004;55
Sylvilagus brasiliensis;2004;46
Didelphis aurita;2004;40
Boa constrictor;2004;38
Didelphis aurita;2004;26.5
Didelphis aurita;2004;26.5
Coendou insidiosus;2004;63.5
Dasypus sp.;2004;49
Salvator merianae;2004;27.5
Boa constrictor;2004;28.5
Cerdocyon thous;2004;44
Dasypus septemcinctus;2004;59
Boa constrictor;2004;51
Boa constrictor;2004;18.5
Boa constrictor;2005;19
Didelphis aurita;2005;41.5
Dasypus sp.;2005;49
Dasypus sp.;2004;55.5
Cerdocyon thous;2005;53
Cerdocyon thous;2005;53
Didelphis aurita;2004;24.5
Didelphis aurita;2005;41
Boa constrictor;2005;33
Procyon cancrivorus;2005;47.5
Didelphis aurita;2005;37
Coendou insidiosus;2005;51
Didelphis aurita;2005;45.5
Didelphis aurita;2005;62
Galictis cuja;2005;50
Coendou insidiosus;2005;50.5
Dasypus sp.;2005;39
Tamandua tetradactyla;2005;49
Cerdocyon thous;2005;35
Boa constrictor;2005;14
Boa constrictor;2005;49
Boa constrictor;2005;62
Boa constrictor;2005;37.5
Didelphis aurita;2005;38
Cuniculus paca;2005;28
Didelphis aurita;2005;59.5
Didelphis aurita;2005;66
Didelphis aurita;2005;18
Didelphis aurita;2005;28
Sylvilagus brasiliensis;2005;42.5
Cerdocyon thous;2005;48
Sylvilagus brasiliensis;2005;42
Boa constrictor;2005;39
Coendou insidiosus;2005;46
Didelphis aurita;2005;41.5
Corallus hortulanus;2005;34.5
Sylvilagus brasiliensis;2005;33
Boa constrictor;2005;35.5
Cerdocyon thous;2005;32
Cerdocyon thous;2005;47.5
Didelphis aurita;2005;19
Cerdocyon thous;2005;39.5
Cerdocyon thous;2005;44
Didelphis aurita;2005;31.5
Cerdocyon thous;2005;53
Didelphis aurita;2005;47
Didelphis aurita;2005;14
Caiman latirostris;2005;46.5
Procyon cancrivorus;2005;54.5
Boa constrictor;2005;51
Didelphis aurita;2005;67
Boa constrictor;2005;29
Cerdocyon thous;2005;39.5
Didelphis aurita;2005;18.5
Cerdocyon thous;2005;27.5
Cerdocyon thous;2005;49
Cerdocyon thous;2005;27.5
Cerdocyon thous;2005;46
Herpailurus yagouaroundi;2005;37.5
Boa constrictor;2005;33
Boa constrictor;2005;50
Cerdocyon thous;2005;41
Didelphis aurita;2005;43.5
Coendou insidiosus;2005;62
Didelphis aurita;2005;66
Cerdocyon thous;2005;22.5
Didelphis aurita;2005;27
Didelphis aurita;2005;66.5
Cerdocyon thous;2005;40.5
Didelphis aurita;2005;50
Procyon cancrivorus;2005;14
Boa constrictor;2005;51
Coendou insidiosus;2005;66
Salvator merianae;2005;54
Cariama cristata;2005;55.5
Eira barbara;2005;51
Cerdocyon thous;2005;54
Cerdocyon thous;2005;33
Cerdocyon thous;2005;49
Didelphis aurita;2005;50
Didelphis aurita;2005;20
Boa constrictor;2005;40.5
Procyon cancrivorus;2005;12.5
Tamandua tetradactyla;2005;48.5
Salvator merianae;2005;59
Boa constrictor;2005;38
Didelphis aurita;2005;50
Tamandua tetradactyla;2005;46
Didelphis aurita;2005;40.5
Coendou insidiosus;2005;50.5
Corallus hortulanus;2005;49
Epicrates cenchria ;2005;61
Salvator merianae;2005;43.5
Dasypus sp.;2005;46.5
Coendou insidiosus;2005;40
Herpailurus yagouaroundi;2006;49
Procyon cancrivorus;2006;61
Didelphis aurita;2006;26.5
Epicrates cenchria ;2006;59
Boa constrictor;2006;45.5
Cerdocyon thous;2006;40
Didelphis aurita;2006;26
Boa constrictor;2006;47
Dasypus sp.;2006;59.5
Procyon cancrivorus;2006;62
Tamandua tetradactyla;2006;36
Procyon cancrivorus;2006;35
Coendou insidiosus;2006;13
Epicrates cenchria ;2006;60
Coendou insidiosus;2006;48.5
Procyon cancrivorus;2006;46.5
Procyon cancrivorus;2006;59
Boa constrictor;2006;66.5
Nasua nasua;2006;50
Corallus hortulanus;2006;11
Epicrates cenchria ;2006;60.5
Cerdocyon thous;2006;65
Cerdocyon thous;2006;32.5
Tamandua tetradactyla;2006;19
Cerdocyon thous;2006;54
Didelphis aurita;2006;38
Dasypus septemcinctus;2006;51
Boa constrictor;2006;18
Cerdocyon thous;2006;32
Cerdocyon thous;2006;33.5
Cerdocyon thous;2006;32.5
Cerdocyon thous;2006;46
Cerdocyon thous;2006;40
Cerdocyon thous;2006;25
Cerdocyon thous;2006;19.5
Cerdocyon thous;2006;60
Cerdocyon thous;2006;27.5
Procyon cancrivorus;2006;19.5
Didelphis aurita;2006;60.5
Cerdocyon thous;2006;28
Cerdocyon thous;2006;28
Didelphis aurita;2006;45
Cerdocyon thous;2006;40
Didelphis aurita;2006;30
Sylvilagus brasiliensis;2006;64
Sylvilagus brasiliensis;2006;61
Herpailurus yagouaroundi;2006;42
Coendou insidiosus;2006;60
Coendou insidiosus;2006;12.5
Eira barbara;2006;49
Cerdocyon thous;2006;43
Boa constrictor;2006;35
Cerdocyon thous;2006;37
Coendou insidiosus;2006;62.5
Coendou insidiosus;2006;43
Didelphis aurita;2006;50
Procyon cancrivorus;2006;56
Boa constrictor;2006;37.5
Epicrates cenchria ;2006;45.5
Didelphis aurita;2006;48.5
