"specie" "km" "X" "Y"
"Boidae" 9 363382.836 7745897.476
"Boidae" 9 363390.2 7745886.846
"Boidae" 9 363382.836 7745897.476
"Boidae" 9.8 362953.337 7744989.681
"Boidae" 10 362943.767 7744996.136
"Boidae" 10.8 362352.155 7744272.296
"Boidae" 11 362349.077 7744237.236
"Boidae" 11.1 362352.155 7744272.296
"Boidae" 11.2 362352.155 7744272.296
"Boidae" 11.8 361757.886 7743467.65
"Boidae" 12 361757.886 7743467.65
"Boidae" 12 361752.106 7743490.169
"Boidae" 12.8 361520.493 7742499.005
"Boidae" 13.5 361430.897 7742017.291
"Boidae" 13.5 361430.897 7742017.291
"Boidae" 13.9 361350.896 7741526.747
"Boidae" 15 361188.732 7740537.917
"Boidae" 16 361028.209 7739556.817
"Boidae" 16 361037.829 7739543.831
"Boidae" 16.4 360952.119 7739001.573
"Boidae" 16.5 360952.119 7739001.573
"Boidae" 16.5 360952.119 7739001.573
"Boidae" 17.1 360882.128 7738591.863
"Boidae" 18 360456.813 7737692.919
"Boidae" 18 360449.364 7737714.236
"Boidae" 18.2 360449.364 7737714.236
"Boidae" 18.4 360072.368 7737276.478
"Boidae" 18.5 360072.368 7737276.478
"Boidae" 18.5 360072.368 7737276.478
"Boidae" 18.5 360095.425 7737331.298
"Boidae" 18.7 360095.425 7737331.298
"Boidae" 18.8 359798.014 7736950.003
"Boidae" 18.9 359807.148 7736928.107
"Boidae" 18.9 359798.014 7736950.003
"Boidae" 19 359798.014 7736950.003
"Boidae" 19 359798.014 7736950.003
"Boidae" 19 359798.014 7736950.003
"Boidae" 19 359807.148 7736928.107
"Boidae" 19.1 359807.148 7736928.107
"Boidae" 20 359234.941 7736142.526
"Boidae" 20.9 358894.755 7735186.038
"Boidae" 21 358894.755 7735186.038
"Boidae" 22.3 358751.671 7733744.827
"Boidae" 23.2 358535.315 7733249.565
"Boidae" 23.5 358187.216 7732854.154
"Boidae" 24 357845.619 7732553.209
"Boidae" 24 357845.619 7732553.209
"Boidae" 26.7 357169.411 7730320.691
"Boidae" 27 356764.578 7730030.472
"Boidae" 28 355985.966 7729421.164
"Boidae" 28.1 355985.966 7729421.164
"Boidae" 28.3 355664.257 7729096.582
"Boidae" 28.5 355651.26 7729045.995
"Boidae" 28.8 355382.542 7728674.942
"Boidae" 29 355382.542 7728674.942
"Boidae" 29 355366.241 7728684.305
"Boidae" 29 355366.241 7728684.305
"Boidae" 29 355382.542 7728674.942
"Boidae" 29 355366.241 7728684.305
"Boidae" 29 355366.241 7728684.305
"Boidae" 30 354709.727 7727807.552
