ID;Lat;Long;Zone;Type
1;364915.78;7753430.12;24K;1
2;365007.57;7753390.44;24K;1
3;365099.38;7753350.79;24K;1
4;365191.52;7753311.96;24K;1
5;365284.32;7753274.69;24K;1
6;365377.7;7753238.91;24K;1
7;365468.15;7753196.6;24K;1
8;365551.25;7753141.13;24K;1
9;365625.64;7753074.44;24K;1
10;365689.57;7752997.67;24K;1
11;365741.26;7752912.17;24K;1
12;365779.74;7752819.98;24K;1
13;365814.02;7752726.04;24K;1
14;365847.77;7752631.9;24K;1
15;365881.14;7752537.64;24K;1
16;365914.57;7752443.39;24K;1
17;365948.01;7752349.14;24K;1
18;365981.52;7752254.93;24K;1
19;366015.06;7752160.72;24K;1
20;366044.7;7752065.35;24K;1
21;366060.21;7751966.63;24K;1
22;366063.35;7751866.74;24K;1
23;366054.05;7751767.24;24K;1
24;366034.6;7751669.16;24K;1
25;366016.45;7751570.83;24K;1
26;366000.81;7751472.06;24K;1
27;365987.86;7751372.91;24K;1
28;365975.75;7751273.64;24K;1
29;365963.64;7751174.38;24K;1
30;365951.52;7751075.11;24K;1
31;365938.83;7750975.93;24K;1
32;365925.01;7750876.89;24K;1
33;365913.01;7750777.61;24K;1
34;365902.79;7750678.14;24K;1
35;365880.18;7750581.39;24K;1
36;365820.39;7750502.2;24K;1
37;365735.53;7750449.73;24K;1
38;365648.25;7750400.91;24K;1
39;365562.63;7750349.25;24K;1
40;365477.94;7750296.09;24K;1
41;365391.23;7750246.29;24K;1
42;365302.97;7750199.3;24K;1
43;365213.97;7750153.72;24K;1
44;365128.35;7750102.12;24K;1
45;365050.33;7750041.13;24K;1
46;365028.33;7749944.11;24K;1
47;365013.95;7749845.16;24K;1
48;365001.39;7749745.97;24K;1
49;364985.73;7749647.2;24K;1
50;364969.68;7749548.5;24K;1
51;364953.26;7749449.86;24K;1
52;364948.38;7749350.78;24K;1
53;364972.07;7749253.64;24K;1
54;364996.75;7749156.74;24K;1
55;365016.11;7749059.03;24K;1
56;365002.87;7748960.24;24K;1
57;364983.13;7748862.2;24K;1
58;364962.67;7748764.32;24K;1
59;364946.37;7748665.67;24K;1
60;364930.85;7748566.92;24K;1
61;364913.64;7748468.49;24K;1
62;364883.57;7748373.54;24K;1
63;364825.56;7748292.55;24K;1
64;364762.17;7748215.2;24K;1
65;364699.17;7748137.55;24K;1
66;364636.55;7748059.58;24K;1
67;364573.36;7747982.08;24K;1
68;364509.75;7747904.92;24K;1
69;364446.14;7747827.75;24K;1
70;364382.54;7747750.59;24K;1
71;364319.63;7747672.85;24K;1
72;364258.62;7747593.7;24K;1
73;364206.39;7747508.56;24K;1
74;364161;7747419.45;24K;1
75;364116;7747330.15;24K;1
76;364070.99;7747240.85;24K;1
77;364025.99;7747151.55;24K;1
78;363980.99;7747062.25;24K;1
79;363935.98;7746972.94;24K;1
80;363890.68;7746883.79;24K;1
81;363845.36;7746794.65;24K;1
82;363800.04;7746705.52;24K;1
83;363754.71;7746616.38;24K;1
84;363709.39;7746527.24;24K;1
85;363664.07;7746438.1;24K;1
86;363618.75;7746348.96;24K;1
87;363573.43;7746259.81;24K;1
88;363528.12;7746170.67;24K;1
89;363482.84;7746081.51;24K;1
90;363437.56;7745992.34;24K;1
91;363392.29;7745903.18;24K;1
92;363348.4;7745813.33;24K;1
93;363305.34;7745723.08;24K;1
94;363262.28;7745632.83;24K;1
95;363219.22;7745542.57;24K;1
96;363175.29;7745452.74;24K;1
97;363131.01;7745363.08;24K;1
98;363086.72;7745273.42;24K;1
99;363042.65;7745183.66;24K;1
100;362999.29;7745093.54;24K;1
101;362955.93;7745003.43;24K;1
102;362912.57;7744913.32;24K;1
103;362869.22;7744823.21;24K;1
104;362814.97;7744739.75;24K;1
105;362753.15;7744661.14;24K;1
106;362689.47;7744584.05;24K;1
107;362624.74;7744507.91;24K;1
108;362561.71;7744430.65;24K;1
109;362480.86;7744372.28;24K;1
110;362401.43;7744311.83;24K;1
111;362335.95;7744236.48;24K;1
112;362285.58;7744150.18;24K;1
113;362235.6;7744063.57;24K;1
114;362174.2;7743984.93;24K;1
115;362109.66;7743908.54;24K;1
116;362045.12;7743832.16;24K;1
117;361980.58;7743755.77;24K;1
118;361914.43;7743680.93;24K;1
119;361844.92;7743609.1;24K;1
120;361782.94;7743530.68;24K;1
121;361729.12;7743446.46;24K;1
122;361683.86;7743357.33;24K;1
123;361647.88;7743264.08;24K;1
124;361621.24;7743167.74;24K;1
125;361603.95;7743069.27;24K;1
126;361589.05;7742970.39;24K;1
127;361573.7;7742871.57;24K;1
128;361558.03;7742772.81;24K;1
129;361542.02;7742674.1;24K;1
130;361525.47;7742575.48;24K;1
131;361508.59;7742476.91;24K;1
132;361491.39;7742378.4;24K;1
133;361473.72;7742279.98;24K;1
134;361461.25;7742180.8;24K;1
135;361449.12;7742081.54;24K;1
136;361435.49;7741982.48;24K;1
137;361420.19;7741883.66;24K;1
138;361403.4;7741785.08;24K;2
139;361384.95;7741686.8;24K;2
140;361368.05;7741588.24;24K;2
141;361351.84;7741489.57;24K;2
142;361335.63;7741390.89;24K;2
143;361319.42;7741292.21;24K;2
144;361303.22;7741193.53;24K;2
145;361287.01;7741094.85;24K;2
146;361270.8;7740996.18;24K;2
147;361254.59;7740897.5;24K;2
148;361238.39;7740798.82;24K;2
149;361222.18;7740700.14;24K;2
150;361205.97;7740601.46;24K;2
151;361189.77;7740502.79;24K;2
152;361173.56;7740404.11;24K;2
153;361157.35;7740305.43;24K;2
154;361141.14;7740206.75;24K;2
155;361124.94;7740108.08;24K;2
156;361108.73;7740009.4;24K;2
157;361092.52;7739910.72;24K;2
158;361076.31;7739812.04;24K;2
159;361060.11;7739713.36;24K;2
160;361043.9;7739614.69;24K;2
161;361027.69;7739516.01;24K;2
162;361011.49;7739417.33;24K;2
163;360995.28;7739318.65;24K;2
164;360979.07;7739219.97;24K;2
165;360962.86;7739121.3;24K;2
166;360946.66;7739022.62;24K;2
167;360930.45;7738923.94;24K;2
168;360914.24;7738825.26;24K;2
169;360898.04;7738726.58;24K;2
170;360881.83;7738627.91;24K;2
171;360865.62;7738529.23;24K;2
172;360849.41;7738430.55;24K;2
173;360838.55;7738331.25;24K;2
174;360819.89;7738233.08;24K;2
175;360787.95;7738138.41;24K;2
176;360743.51;7738048.92;24K;2
177;360687.38;7737966.25;24K;1
178;360621.05;7737891.47;24K;1
179;360552.84;7737818.35;24K;1
180;360484.96;7737744.92;24K;1
181;360417.31;7737671.27;24K;1
182;360349.88;7737597.43;24K;1
183;360282.72;7737523.34;24K;1
184;360213.15;7737451.53;24K;1
185;360144.64;7737378.68;24K;1
186;360078.02;7737304.11;24K;1
187;360013.31;7737227.88;24K;1
188;359950.56;7737150.02;24K;1
189;359889.81;7737070.59;24K;1
190;359832.92;7736988.39;24K;1
191;359777.64;7736905.06;24K;1
192;359722.03;7736821.95;24K;1
193;359666.06;7736739.08;24K;1
194;359609.72;7736656.46;24K;1
195;359553.06;7736574.06;24K;1
196;359496.09;7736491.88;24K;1
197;359438.8;7736409.91;24K;1
198;359381.18;7736328.19;24K;1
199;359323.16;7736246.74;24K;1
200;359263.65;7736166.39;24K;1
201;359206.49;7736084.35;24K;1
202;359153.06;7735999.83;24K;1
203;359103.48;7735912.99;24K;1
204;359057.83;7735824.03;24K;1
205;359016.23;7735733.11;24K;1
206;358985.5;7735638.12;24K;1
207;358961.25;7735541.11;24K;1
208;358940.99;7735443.19;24K;1
209;358924.53;7735344.56;24K;1
