Lat,Long,Zone,Type
364915.780000000027940,7753430.120000000111759,24K,"1"
365007.570000000006985,7753390.440000000409782,24K,"1"
365099.380000000004657,7753350.790000000037253,24K,"1"
365191.520000000018626,7753311.959999999962747,24K,"1"
365284.320000000006985,7753274.690000000409782,24K,"1"
365377.700000000011642,7753238.910000000149012,24K,"1"
365468.150000000023283,7753196.599999999627471,24K,"1"
365551.250000000000000,7753141.129999999888241,24K,"1"
365625.640000000013970,7753074.440000000409782,24K,"1"
365689.570000000006985,7752997.669999999925494,24K,"1"
365741.260000000009313,7752912.169999999925494,24K,"1"
365779.739999999990687,7752819.980000000447035,24K,"1"
365814.020000000018626,7752726.040000000037253,24K,"1"
365847.770000000018626,7752631.900000000372529,24K,"1"
365881.140000000013970,7752537.639999999664724,24K,"1"
365914.570000000006985,7752443.389999999664724,24K,"1"
365948.010000000009313,7752349.139999999664724,24K,"1"
365981.520000000018626,7752254.929999999701977,24K,"1"
366015.059999999997672,7752160.719999999739230,24K,"1"
366044.700000000011642,7752065.349999999627471,24K,"1"
366060.210000000020955,7751966.629999999888241,24K,"1"
366063.349999999976717,7751866.740000000223517,24K,"1"
366054.049999999988358,7751767.240000000223517,24K,"1"
366034.599999999976717,7751669.160000000149012,24K,"1"
366016.450000000011642,7751570.830000000074506,24K,"1"
366000.809999999997672,7751472.059999999590218,24K,"1"
365987.859999999986030,7751372.910000000149012,24K,"1"
365975.750000000000000,7751273.639999999664724,24K,"1"
365963.640000000013970,7751174.379999999888241,24K,"1"
365951.520000000018626,7751075.110000000335276,24K,"1"
365938.830000000016298,7750975.929999999701977,24K,"1"
365925.010000000009313,7750876.889999999664724,24K,"1"
365913.010000000009313,7750777.610000000335276,24K,"1"
365902.789999999979045,7750678.139999999664724,24K,"1"
365880.179999999993015,7750581.389999999664724,24K,"1"
365820.390000000013970,7750502.200000000186265,24K,"1"
365735.530000000027940,7750449.730000000447035,24K,"1"
365648.250000000000000,7750400.910000000149012,24K,"1"
365562.630000000004657,7750349.250000000000000,24K,"1"
365477.940000000002328,7750296.089999999850988,24K,"1"
365391.229999999981374,7750246.290000000037253,24K,"1"
365302.969999999972060,7750199.299999999813735,24K,"1"
365213.969999999972060,7750153.719999999739230,24K,"1"
365128.349999999976717,7750102.120000000111759,24K,"1"
365050.330000000016298,7750041.129999999888241,24K,"1"
365028.330000000016298,7749944.110000000335276,24K,"1"
365013.950000000011642,7749845.160000000149012,24K,"1"
365001.390000000013970,7749745.969999999739230,24K,"1"
364985.729999999981374,7749647.200000000186265,24K,"1"
364969.679999999993015,7749548.500000000000000,24K,"1"
364953.260000000009313,7749449.860000000335276,24K,"1"
364948.380000000004657,7749350.780000000260770,24K,"1"
364972.070000000006985,7749253.639999999664724,24K,"1"
364996.750000000000000,7749156.740000000223517,24K,"1"
365016.109999999986030,7749059.030000000260770,24K,"1"
365002.869999999995343,7748960.240000000223517,24K,"1"
364983.130000000004657,7748862.200000000186265,24K,"1"
364962.669999999983702,7748764.320000000298023,24K,"1"
364946.369999999995343,7748665.669999999925494,24K,"1"
364930.849999999976717,7748566.919999999925494,24K,"1"
364913.640000000013970,7748468.490000000223517,24K,"1"
364883.570000000006985,7748373.540000000037253,24K,"1"
364825.559999999997672,7748292.549999999813735,24K,"1"
364762.169999999983702,7748215.200000000186265,24K,"1"
364699.169999999983702,7748137.549999999813735,24K,"1"
364636.549999999988358,7748059.580000000074506,24K,"1"
364573.359999999986030,7747982.080000000074506,24K,"1"
364509.750000000000000,7747904.919999999925494,24K,"1"
364446.140000000013970,7747827.750000000000000,24K,"1"
364382.539999999979045,7747750.589999999850988,24K,"1"
364319.630000000004657,7747672.849999999627471,24K,"1"
364258.619999999995343,7747593.700000000186265,24K,"1"
364206.390000000013970,7747508.559999999590218,24K,"1"
364161.000000000000000,7747419.450000000186265,24K,"1"
364116.000000000000000,7747330.150000000372529,24K,"1"
364070.989999999990687,7747240.849999999627471,24K,"1"
364025.989999999990687,7747151.549999999813735,24K,"1"
363980.989999999990687,7747062.250000000000000,24K,"1"
363935.979999999981374,7746972.940000000409782,24K,"1"
363890.679999999993015,7746883.790000000037253,24K,"1"
363845.359999999986030,7746794.650000000372529,24K,"1"
363800.039999999979045,7746705.519999999552965,24K,"1"
363754.710000000020955,7746616.379999999888241,24K,"1"
363709.390000000013970,7746527.240000000223517,24K,"1"
363664.070000000006985,7746438.099999999627471,24K,"1"
363618.750000000000000,7746348.959999999962747,24K,"1"
363573.429999999993015,7746259.809999999590218,24K,"1"
363528.119999999995343,7746170.669999999925494,24K,"1"
363482.840000000025611,7746081.509999999776483,24K,"1"
363437.559999999997672,7745992.339999999850988,24K,"1"
363392.289999999979045,7745903.179999999701977,24K,"1"
363348.400000000023283,7745813.330000000074506,24K,"1"
363305.340000000025611,7745723.080000000074506,24K,"1"
363262.280000000027940,7745632.830000000074506,24K,"1"
363219.219999999972060,7745542.570000000298023,24K,"1"
363175.289999999979045,7745452.740000000223517,24K,"1"
363131.010000000009313,7745363.080000000074506,24K,"1"
363086.719999999972060,7745273.419999999925494,24K,"1"
363042.650000000023283,7745183.660000000149012,24K,"1"
362999.289999999979045,7745093.540000000037253,24K,"1"
362955.929999999993015,7745003.429999999701977,24K,"1"
362912.570000000006985,7744913.320000000298023,24K,"1"
362869.219999999972060,7744823.209999999962747,24K,"1"
362814.969999999972060,7744739.750000000000000,24K,"1"
362753.150000000023283,7744661.139999999664724,24K,"1"
362689.469999999972060,7744584.049999999813735,24K,"1"
362624.739999999990687,7744507.910000000149012,24K,"1"
362561.710000000020955,7744430.650000000372529,24K,"1"
362480.859999999986030,7744372.280000000260770,24K,"1"
362401.429999999993015,7744311.830000000074506,24K,"1"
362335.950000000011642,7744236.480000000447035,24K,"1"
362285.580000000016298,7744150.179999999701977,24K,"1"
362235.599999999976717,7744063.570000000298023,24K,"1"
362174.200000000011642,7743984.929999999701977,24K,"1"
362109.659999999974389,7743908.540000000037253,24K,"1"
362045.119999999995343,7743832.160000000149012,24K,"1"
361980.580000000016298,7743755.769999999552965,24K,"1"
361914.429999999993015,7743680.929999999701977,24K,"1"
361844.919999999983702,7743609.099999999627471,24K,"1"
361782.940000000002328,7743530.679999999701977,24K,"1"
361729.119999999995343,7743446.459999999962747,24K,"1"
361683.859999999986030,7743357.330000000074506,24K,"1"
361647.880000000004657,7743264.080000000074506,24K,"1"
361621.239999999990687,7743167.740000000223517,24K,"1"
361603.950000000011642,7743069.269999999552965,24K,"1"
361589.049999999988358,7742970.389999999664724,24K,"1"
361573.700000000011642,7742871.570000000298023,24K,"1"
361558.030000000027940,7742772.809999999590218,24K,"1"
361542.020000000018626,7742674.099999999627471,24K,"1"
361525.469999999972060,7742575.480000000447035,24K,"1"
361508.590000000025611,7742476.910000000149012,24K,"1"
361491.390000000013970,7742378.400000000372529,24K,"1"
361473.719999999972060,7742279.980000000447035,24K,"1"
361461.250000000000000,7742180.799999999813735,24K,"1"
361449.119999999995343,7742081.540000000037253,24K,"1"
361435.489999999990687,7741982.480000000447035,24K,"1"
361420.190000000002328,7741883.660000000149012,24K,"1"
361403.400000000023283,7741785.080000000074506,24K,"2"
361384.950000000011642,7741686.799999999813735,24K,"2"
361368.049999999988358,7741588.240000000223517,24K,"2"
361351.840000000025611,7741489.570000000298023,24K,"2"
361335.630000000004657,7741390.889999999664724,24K,"2"
361319.419999999983702,7741292.209999999962747,24K,"2"
361303.219999999972060,7741193.530000000260770,24K,"2"
361287.010000000009313,7741094.849999999627471,24K,"2"
361270.799999999988358,7740996.179999999701977,24K,"2"
361254.590000000025611,7740897.500000000000000,24K,"2"
361238.390000000013970,7740798.820000000298023,24K,"2"
361222.179999999993015,7740700.139999999664724,24K,"2"
361205.969999999972060,7740601.459999999962747,24K,"2"
361189.770000000018626,7740502.790000000037253,24K,"2"
