"km_round","X","Y","HS","UCL","LCL","HS-UCL"
"45.728","345013.7","7720158.2","16.785","3.404","-3.287","13.382"
"37.599","351363.8","7721316.3","14.793","3.794","-3.205","10.998"
"38.276","351264.3","7720649.6","13.74","3.748","-3.246","9.992"
"59.277","337082.5","7711727.4","9.49","3.625","-3.217","5.864"
"18.630","360019.9","7737235.6","8.823","3.825","-3.171","4.998"
"38.954","351043.5","7720012.6","8.643","3.651","-3.338","4.992"
"45.051","345690.9","7720151.7","7.786","3.795","-3.189","3.991"
"59.955","337344.4","7711132.9","6.429","3.532","-3.227","2.897"
"60.632","337016.6","7710582.1","5.704","3.713","-3.257","1.991"
"50.470","341496.1","7717741.8","5.404","3.504","-3.146","1.900"
"36.921","351434.4","7721987.1","4.716","3.716","-3.284","1.000"
"28.792","355500.5","7728847.9","4.732","3.732","-3.263","0.999"
"34.889","352327.4","7723688.1","4.849","3.852","-3.128","0.997"
"55.890","337554.3","7714707.8","4.633","3.66","-3.148","0.973"
"19.307","359628.8","7736684.5","3.721","3.721","-3.279","0.000"
"51.825","340502.1","7716896.3","3.39","3.39","-3.343","0.000"
"55.213","337712.7","7715294.8","3.471","3.471","-3.092","0.000"
"40.309","350202.6","7719313.8","2.183","3.092","-3.272","-0.909"
"51.148","340911.7","7717423.2","2.691","3.682","-3.256","-0.991"
"29.469","355096.5","7728305.9","2.735","3.735","-3.265","-1.000"
"36.244","351508.9","7722657.4","1.679","3.652","-3.254","-1.973"
"34.211","352619","7724297.1","1.749","3.749","-3.251","-2.000"
"49.793","342098.5","7717918.2","0.726","3.596","-3.1","-2.870"
"52.503","339896.4","7716745.4","0.528","3.418","-3.325","-2.890"
"56.567","337319.9","7714098","0.598","3.531","-3.312","-2.933"
"46.406","344542.6","7719758.8","0.65","3.585","-3.262","-2.934"
"49.115","342746.5","7718058.4","0.686","3.641","-3.253","-2.954"
"43.018","347697.6","7720193.6","0.616","3.583","-3.339","-2.966"
"35.566","351861","7723204","0.857","3.824","-3.1","-2.967"
"61.987","336061.2","7709637.8","0.737","3.705","-3.22","-2.968"
"62.665","335861.1","7709006.7","0.709","3.683","-3.257","-2.974"
"10.501","362699.8","7744596.6","0.657","3.639","-3.319","-2.982"
"54.535","338334.7","7715552.2","0.778","3.76","-3.198","-2.982"
"32.857","353188.4","7725521.9","0.694","3.691","-3.301","-2.997"
"30.824","354308.1","7727207.1","0.789","3.789","-3.211","-3.000"
"31.502","353913.5","7726658.1","-0.216","2.784","-3.216","-3.000"
"48.438","343295.8","7718415.4","-0.456","3.371","-3.327","-3.827"
"47.761","343907.2","7718612.6","-0.393","3.47","-3.29","-3.863"
"57.922","336946.4","7712989.6","-0.352","3.536","-3.268","-3.888"
"11.178","362254.7","7744096.7","-0.328","3.64","-3.304","-3.968"
"66.729","338287.9","7706260.5","-1.108","2.861","-3.093","-3.969"
"43.696","347022.9","7720225.4","-0.215","3.754","-3.193","-3.970"
"63.342","335885.6","7708338.8","-0.214","3.763","-3.197","-3.977"
"44.373","346354.7","7720280.4","-0.109","3.877","-3.098","-3.985"
"40.986","349640.5","7719689.9","-0.256","3.736","-3.251","-3.992"
"28.114","355931","7729366.7","-0.328","3.664","-3.323","-3.993"
"41.663","348979","7719837.7","-0.203","3.794","-3.2","-3.997"
"9.146","363334.7","7745784.7","-1.166","2.834","-3.166","-4.000"
"16.598","360936.7","7738961.5","-0.222","3.778","-3.222","-4.000"
"67.407","338419.9","7705685.4","-0.953","3.395","-3.127","-4.348"
"65.374","337432.8","7707237","-1.3","3.508","-3.224","-4.809"
"47.083","344239.8","7719163.3","-1.266","3.628","-3.223","-4.894"
"58.600","337208.9","7712390","-1.217","3.697","-3.182","-4.914"
"24.050","357832.4","7732528.2","-1.094","3.837","-3.066","-4.930"
"11.855","361820.9","7743578.6","-1.227","3.744","-3.215","-4.971"
"61.310","336515.8","7710128.6","-1.314","3.667","-3.307","-4.981"
"17.953","360476.3","7737735.4","-1.259","3.726","-3.253","-4.985"
"22.695","358681.8","7733551.8","-2.066","2.925","-3.064","-4.991"
"13.210","361475.6","7742290.9","-1.232","3.768","-3.232","-5.000"
"13.888","361374.3","7741624.2","-1.249","3.751","-3.249","-5.000"
"26.759","356997.1","7730203.2","-2.186","2.814","-3.186","-5.000"
"30.147","354702.3","7727756.4","-1.172","3.828","-3.172","-5.000"
"64.697","336789.1","7707406.4","-2.238","3.6","-3.211","-5.838"
"66.052","337788.7","7706702","-2.144","3.771","-3.13","-5.915"
