"km_round","X","Y","HS","UCL","LCL","HS-UCL"
"59.955","337344.4","7711132.9","8.587","2.794","-2.033","5.793"
"59.277","337082.5","7711727.4","7.714","2.827","-2.06","4.887"
"45.051","345690.9","7720151.7","7.032","3.041","-1.948","3.991"
"26.082","357532.4","7730618.8","5.847","1.908","-2.032","3.939"
"45.728","345013.7","7720158.2","5.593","2.725","-2.054","2.868"
"37.599","351363.8","7721316.3","3.988","1.989","-2.011","2.000"
"18.630","360019.9","7737235.6","4.977","2.978","-2.02","1.999"
"44.373","346354.7","7720280.4","4.051","2.058","-1.927","1.993"
"19.307","359628.8","7736684.5","3.939","2.939","-2.061","1.000"
"26.759","356997.1","7730203.2","3.033","2.033","-1.967","1.000"
"43.696","347022.9","7720225.4","3.017","2.024","-1.945","0.992"
"51.148","340911.7","7717423.2","3.918","2.927","-2.029","0.991"
"55.213","337712.7","7715294.8","3.651","2.713","-1.974","0.938"
"40.309","350202.6","7719313.8","2.535","2.535","-2.011","0.000"
"43.018","347697.6","7720193.6","1.899","1.899","-2.057","0.000"
"48.438","343295.8","7718415.4","2.74","2.74","-2.044","0.000"
"50.470","341496.1","7717741.8","2.753","2.753","-1.997","0.000"
"55.890","337554.3","7714707.8","1.881","2.854","-2.009","-0.973"
"66.729","338287.9","7706260.5","1.872","2.865","-2.097","-0.992"
"54.535","338334.7","7715552.2","2.032","3.026","-1.944","-0.994"
"24.727","357750.8","7731872.1","0.989","1.985","-1.999","-0.996"
"60.632","337016.6","7710582.1","1.921","2.917","-2.061","-0.996"
"19.985","359239.5","7736131.7","0.999","1.998","-1.996","-0.998"
"28.114","355931","7729366.7","0.942","1.94","-2.052","-0.998"
"38.276","351264.3","7720649.6","2.025","3.025","-1.971","-0.999"
"31.502","353913.5","7726658.1","0.964","1.964","-2.036","-1.000"
"49.793","342098.5","7717918.2","0.845","2.758","-2.025","-1.913"
"53.858","338882.2","7715937.4","0.859","2.779","-2.02","-1.920"
"56.567","337319.9","7714098","0.941","2.896","-1.993","-1.955"
"46.406","344542.6","7719758.8","0.885","2.841","-2.049","-1.956"
"42.341","348325.5","7719993","0.918","2.883","-2.03","-1.965"
"49.115","342746.5","7718058.4","0.881","2.851","-2.073","-1.969"
"24.050","357832.4","7732528.2","-0.065","1.907","-2.037","-1.972"
"66.052","337788.7","7706702","0.875","2.847","-2.082","-1.972"
"63.342","335885.6","7708338.8","-0.019","1.97","-2.007","-1.989"
"12.533","361586.9","7742956.3","0.931","2.924","-2.059","-1.993"
"28.792","355500.5","7728847.9","0.854","2.853","-2.144","-1.999"
"30.824","354308.1","7727207.1","0.004","2.004","-1.996","-2.000"
"47.761","343907.2","7718612.6","-1.01","1.887","-1.976","-2.897"
"47.083","344239.8","7719163.3","-0.042","2.894","-2","-2.936"
"25.405","357809.9","7731200.4","-0.985","1.97","-1.97","-2.955"
"62.665","335861.1","7709006.7","0.001","2.975","-1.982","-2.974"
"11.178","362254.7","7744096.7","-1.04","1.936","-2.032","-2.976"
"11.855","361820.9","7743578.6","-0.027","2.956","-2.015","-2.983"
"23.372","358326.8","7732982.8","-1.026","1.96","-2.022","-2.987"
"61.310","336515.8","7710128.6","-0.069","2.92","-2.061","-2.989"
"22.017","358920.9","7734182","-0.05","2.941","-2.044","-2.991"
"40.986","349640.5","7719689.9","-0.991","2.003","-1.989","-2.994"
"22.695","358681.8","7733551.8","-1.025","1.969","-2.023","-2.995"
"32.857","353188.4","7725521.9","-0.991","2.006","-1.99","-2.997"
"41.663","348979","7719837.7","-0.927","2.07","-1.926","-2.998"
"29.469","355096.5","7728305.9","-0.022","2.978","-2.022","-3.000"
"67.407","338419.9","7705685.4","-0.998","2.263","-2.085","-3.261"
"51.825","340502.1","7716896.3","-1.073","2.774","-2.035","-3.847"
"65.374","337432.8","7707237","-1.063","2.784","-2.024","-3.847"
"52.503","339896.4","7716745.4","-1.04","2.813","-2.004","-3.853"
"57.922","336946.4","7712989.6","-1.108","2.78","-2.08","-3.888"
"64.697","336789.1","7707406.4","-1.007","2.885","-1.98","-3.892"
"58.600","337208.9","7712390","-2.062","1.869","-2.062","-3.931"
"64.019","336266.2","7707781.9","-1.027","2.924","-2.015","-3.952"
"61.987","336061.2","7709637.8","-1.034","2.923","-2.023","-3.957"
"20.662","358957.6","7735523.6","-1.963","2.023","-1.963","-3.986"
"4.403","365050.1","7750040.8","-2.025","1.969","-2.025","-3.994"
"38.954","351043.5","7720012.6","-0.977","3.016","-1.976","-3.994"
"21.340","358903.3","7734853.6","-1.073","2.922","-2.071","-3.995"
"32.179","353519.8","7726108.3","-1.033","2.962","-2.032","-3.995"
"7.791","363944.6","7746990.2","-2.019","1.981","-2.019","-4.000"
"13.210","361475.6","7742290.9","-1.017","2.983","-2.017","-4.000"
"13.888","361374.3","7741624.2","-1.057","2.943","-2.057","-4.000"
"14.565","361264.6","7740958.6","-1.062","2.938","-2.062","-4.000"
"15.243","361155.2","7740292.9","-1.081","2.919","-2.081","-4.000"
"16.598","360936.7","7738961.5","-2.016","1.984","-2.016","-4.000"
"27.437","356461.8","7729787.6","-1.012","2.988","-2.012","-4.000"
"33.534","352903.3","7724909.7","-2.066","1.934","-2.066","-4.000"
"34.211","352619","7724297.1","-1.012","2.988","-2.012","-4.000"
"36.921","351434.4","7721987.1","-0.975","3.025","-1.975","-4.000"
"39.631","350744.2","7719410.2","-1.985","2.516","-1.985","-4.501"
"0.339","365228.3","7753297.2","-1.883","2.845","-1.883","-4.727"
"3.726","365630.6","7750390.2","-2.057","2.74","-2.057","-4.796"
"3.049","365932.9","7750933.6","-2.013","2.857","-2.013","-4.870"
"57.245","336865.8","7713625.7","-2.061","2.819","-2.061","-4.880"
"5.758","364954.3","7748713.4","-2.113","2.79","-2.113","-4.903"
"36.244","351508.9","7722657.4","-2.033","2.9","-2.033","-4.933"
"53.180","339446.8","7716240.4","-2.064","2.871","-2.064","-4.935"
"1.016","365748.2","7752895.5","-1.955","2.985","-1.955","-4.940"
"35.566","351861","7723204","-2.034","2.912","-2.034","-4.946"
"6.436","364681.4","7748115.7","-2.058","2.889","-2.058","-4.947"
"5.081","364949.6","7749374.4","-2.085","2.869","-2.085","-4.954"
"17.275","360831.7","7738295.3","-2.062","2.893","-2.062","-4.955"
"1.694","365979.3","7752261.3","-2.013","2.954","-2.013","-4.967"
"2.371","366022.1","7751602.1","-2.037","2.932","-2.037","-4.969"
"10.501","362699.8","7744596.6","-2.035","2.936","-2.035","-4.971"
"17.953","360476.3","7737735.4","-1.975","3.01","-1.975","-4.985"
