"km_round","X","Y","HS","UCL","LCL","HS-UCL"
"37.599","351363.8","7721316.3","7.657","2.658","-2.342","4.999"
"38.276","351264.3","7720649.6","7.679","2.683","-2.313","4.996"
"44.373","346354.7","7720280.4","5.645","2.656","-2.326","2.989"
"27.437","356461.8","7729787.6","4.762","2.762","-2.238","2.000"
"28.114","355931","7729366.7","4.65","2.653","-2.338","1.996"
"48.438","343295.8","7718415.4","5.292","3.378","-2.362","1.914"
"40.309","350202.6","7719313.8","4.853","3.035","-2.42","1.818"
"38.954","351043.5","7720012.6","4.628","3.63","-2.36","0.998"
"45.051","345690.9","7720151.7","4.642","3.644","-2.343","0.998"
"63.342","335885.6","7708338.8","4.566","3.572","-2.394","0.994"
"11.178","362254.7","7744096.7","4.551","3.559","-2.393","0.992"
"53.180","339446.8","7716240.4","4.524","3.537","-2.386","0.987"
"45.728","345013.7","7720158.2","4.223","3.267","-2.468","0.956"
"17.953","360476.3","7737735.4","2.554","2.554","-2.431","0.000"
"19.307","359628.8","7736684.5","2.637","2.637","-2.363","0.000"
"19.985","359239.5","7736131.7","2.65","2.65","-2.342","0.000"
"47.761","343907.2","7718612.6","3.456","3.456","-2.338","0.000"
"50.470","341496.1","7717741.8","3.328","3.328","-2.372","0.000"
"46.406","344542.6","7719758.8","2.512","3.49","-2.379","-0.978"
"22.695","358681.8","7733551.8","2.579","3.577","-2.412","-0.998"
"36.921","351434.4","7721987.1","2.665","3.665","-2.335","-1.000"
"59.955","337344.4","7711132.9","1.507","3.438","-2.355","-1.931"
"49.115","342746.5","7718058.4","1.572","3.541","-2.367","-1.969"
"36.244","351508.9","7722657.4","1.58","3.553","-2.367","-1.973"
"10.501","362699.8","7744596.6","0.624","2.613","-2.358","-1.988"
"54.535","338334.7","7715552.2","0.689","2.677","-2.293","-1.988"
"60.632","337016.6","7710582.1","1.646","3.637","-2.337","-1.991"
"20.662","358957.6","7735523.6","0.712","2.705","-2.277","-1.993"
"22.017","358920.9","7734182","0.66","2.654","-2.331","-1.994"
"34.889","352327.4","7723688.1","0.629","2.623","-2.362","-1.994"
"32.179","353519.8","7726108.3","1.617","3.615","-2.378","-1.998"
"28.792","355500.5","7728847.9","1.585","3.584","-2.412","-1.999"
"29.469","355096.5","7728305.9","1.623","3.623","-2.377","-2.000"
"49.793","342098.5","7717918.2","0.546","3.416","-2.324","-2.870"
"51.825","340502.1","7716896.3","0.532","3.417","-2.354","-2.886"
"52.503","339896.4","7716745.4","0.533","3.423","-2.357","-2.890"
"59.277","337082.5","7711727.4","-0.333","2.599","-2.288","-2.932"
"47.083","344239.8","7719163.3","0.597","3.533","-2.339","-2.936"
"42.341","348325.5","7719993","0.589","3.536","-2.359","-2.948"
"43.018","347697.6","7720193.6","-0.351","2.615","-2.329","-2.966"
"35.566","351861","7723204","0.648","3.615","-2.32","-2.967"
"61.987","336061.2","7709637.8","-0.292","2.676","-2.27","-2.968"
"51.148","340911.7","7717423.2","-0.257","2.717","-2.239","-2.973"
"62.665","335861.1","7709006.7","-0.283","2.691","-2.265","-2.974"
"11.855","361820.9","7743578.6","0.599","3.581","-2.384","-2.983"
"24.727","357750.8","7731872.1","-0.319","2.669","-2.31","-2.987"
"21.340","358903.3","7734853.6","0.693","3.689","-2.303","-2.996"
"32.857","353188.4","7725521.9","-0.306","2.691","-2.303","-2.997"
"18.630","360019.9","7737235.6","0.608","3.606","-2.391","-2.999"
"30.147","354702.3","7727756.4","-0.298","2.702","-2.298","-3.000"
"33.534","352903.3","7724909.7","0.674","3.674","-2.326","-3.000"
"53.858","338882.2","7715937.4","-0.513","3.327","-2.432","-3.839"
"65.374","337432.8","7707237","-0.375","3.472","-2.299","-3.847"
"57.922","336946.4","7712989.6","-0.422","3.466","-2.366","-3.888"
"57.245","336865.8","7713625.7","-0.389","3.515","-2.342","-3.904"
"24.050","357832.4","7732528.2","-0.407","3.537","-2.379","-3.944"
"23.372","358326.8","7732982.8","-0.438","3.544","-2.429","-3.982"
"34.211","352619","7724297.1","-0.439","3.561","-2.439","-4.000"
"55.890","337554.3","7714707.8","-1.469","3.395","-2.441","-4.863"
"58.600","337208.9","7712390","-2.344","2.57","-2.344","-4.914"
"43.696","347022.9","7720225.4","-1.329","3.633","-2.321","-4.962"
"12.533","361586.9","7742956.3","-2.328","2.655","-2.328","-4.983"
"40.986","349640.5","7719689.9","-1.298","3.692","-2.297","-4.990"
"26.759","356997.1","7730203.2","-1.402","3.598","-2.402","-5.000"
"39.631","350744.2","7719410.2","-2.479","2.922","-2.479","-5.401"
"67.407","338419.9","7705685.4","-2.234","3.201","-3.321","-5.435"
"55.213","337712.7","7715294.8","-2.398","3.227","-2.398","-5.625"
"64.697","336789.1","7707406.4","-2.403","3.435","-2.403","-5.838"
"56.567","337319.9","7714098","-2.39","3.477","-2.39","-5.866"
"25.405","357809.9","7731200.4","-2.404","3.505","-2.404","-5.909"
"26.082","357532.4","7730618.8","-2.403","3.506","-2.403","-5.909"
"1.016","365748.2","7752895.5","-3.296","2.632","-2.308","-5.928"
"64.019","336266.2","7707781.9","-3.369","2.559","-2.381","-5.928"
"6.436","364681.4","7748115.7","-3.233","2.704","-2.243","-5.937"
"17.275","360831.7","7738295.3","-3.362","2.583","-2.371","-5.946"
"61.310","336515.8","7710128.6","-2.361","3.616","-2.361","-5.978"
"4.403","365050.1","7750040.8","-3.354","2.637","-2.355","-5.991"
"9.823","363039.5","7745176.9","-2.349","3.646","-2.349","-5.995"
"41.663","348979","7719837.7","-2.355","3.64","-2.355","-5.995"
"7.113","364256","7747589.5","-3.272","2.726","-2.272","-5.998"
"13.888","361374.3","7741624.2","-3.292","2.708","-2.292","-5.999"
"7.791","363944.6","7746990.2","-3.271","2.729","-2.271","-6.000"
"8.468","363638.5","7746387.8","-2.335","3.665","-2.335","-6.000"
"15.243","361155.2","7740292.9","-3.306","2.694","-2.306","-6.000"
"15.920","361046","7739627.2","-3.274","2.726","-2.274","-6.000"
"16.598","360936.7","7738961.5","-3.277","2.723","-2.277","-6.000"
"30.824","354308.1","7727207.1","-3.267","2.733","-2.267","-6.000"
"31.502","353913.5","7726658.1","-3.291","2.709","-2.291","-6.000"
"3.726","365630.6","7750390.2","-3.271","3.444","-2.312","-6.715"
"3.049","365932.9","7750933.6","-3.332","3.486","-2.358","-6.818"
"5.758","364954.3","7748713.4","-3.444","3.42","-2.463","-6.865"
"66.052","337788.7","7706702","-3.351","3.55","-2.365","-6.901"
"5.081","364949.6","7749374.4","-3.338","3.597","-2.347","-6.935"
"66.729","338287.9","7706260.5","-3.326","3.62","-2.334","-6.946"
"1.694","365979.3","7752261.3","-3.422","3.532","-2.429","-6.954"
"2.371","366022.1","7751602.1","-3.436","3.521","-2.442","-6.957"
"13.210","361475.6","7742290.9","-3.302","3.698","-2.302","-6.999"
"9.146","363334.7","7745784.7","-3.421","3.579","-2.421","-7.000"
"14.565","361264.6","7740958.6","-3.379","3.621","-2.379","-7.000"
"0.339","365228.3","7753297.2","-3.361","3.73","-3.361","-7.091"
