"km_round","X","Y","HS","UCL","LCL","HS-UCL"
"13.210","361475.6","7742290.9","2.253","1.253","-0.747","1.000"
"24.050","357832.4","7732528.2","2.28","1.294","-0.678","0.986"
"59.277","337082.5","7711727.4","2.244","1.267","-0.688","0.977"
"57.922","336946.4","7712989.6","2.182","1.21","-0.734","0.972"
"10.501","362699.8","7744596.6","1.236","1.236","-0.753","0.000"
"12.533","361586.9","7742956.3","1.24","1.24","-0.753","0.000"
"18.630","360019.9","7737235.6","1.228","1.228","-0.771","0.000"
"28.114","355931","7729366.7","1.269","1.269","-0.728","0.000"
"31.502","353913.5","7726658.1","1.328","1.328","-0.672","0.000"
"34.211","352619","7724297.1","1.315","1.315","-0.685","0.000"
"35.566","351861","7723204","1.267","1.267","-0.711","0.000"
"37.599","351363.8","7721316.3","1.293","1.293","-0.707","0.000"
"38.954","351043.5","7720012.6","1.271","1.271","-0.726","0.000"
"40.309","350202.6","7719313.8","1.126","1.126","-0.693","0.000"
"47.083","344239.8","7719163.3","1.258","1.258","-0.7","0.000"
"49.115","342746.5","7718058.4","1.264","1.264","-0.705","0.000"
"49.793","342098.5","7717918.2","1.176","1.176","-0.738","0.000"
"50.470","341496.1","7717741.8","1.207","1.207","-0.694","0.000"
"51.148","340911.7","7717423.2","1.305","1.305","-0.677","0.000"
"55.213","337712.7","7715294.8","1.18","1.18","-0.695","0.000"
"55.890","337554.3","7714707.8","1.299","1.299","-0.646","0.000"
"59.955","337344.4","7711132.9","1.261","1.261","-0.67","0.000"
"45.728","345013.7","7720158.2","0.253","1.209","-0.703","-0.956"
"51.825","340502.1","7716896.3","0.265","1.227","-0.696","-0.962"
"65.374","337432.8","7707237","0.246","1.208","-0.716","-0.962"
"47.761","343907.2","7718612.6","0.259","1.225","-0.707","-0.966"
"46.406","344542.6","7719758.8","0.294","1.273","-0.684","-0.978"
"56.567","337319.9","7714098","0.268","1.246","-0.71","-0.978"
"58.600","337208.9","7712390","0.255","1.237","-0.728","-0.983"
"36.244","351508.9","7722657.4","0.272","1.259","-0.714","-0.987"
"43.018","347697.6","7720193.6","0.259","1.248","-0.73","-0.989"
"43.696","347022.9","7720225.4","0.32","1.312","-0.673","-0.992"
"11.855","361820.9","7743578.6","0.29","1.285","-0.704","-0.994"
"24.727","357750.8","7731872.1","0.264","1.26","-0.732","-0.996"
"44.373","346354.7","7720280.4","0.287","1.283","-0.709","-0.996"
"13.888","361374.3","7741624.2","0.307","1.307","-0.693","-1.000"
"19.307","359628.8","7736684.5","0.232","1.232","-0.768","-1.000"
"30.824","354308.1","7727207.1","0.284","1.284","-0.716","-1.000"
"39.631","350744.2","7719410.2","-0.699","1.101","-0.699","-1.800"
"48.438","343295.8","7718415.4","-0.698","1.215","-0.698","-1.914"
"3.726","365630.6","7750390.2","-0.706","1.213","-0.706","-1.919"
"53.858","338882.2","7715937.4","-0.706","1.213","-0.706","-1.920"
"52.503","339896.4","7716745.4","-0.718","1.209","-0.718","-1.927"
"64.697","336789.1","7707406.4","-0.711","1.235","-0.711","-1.946"
"3.049","365932.9","7750933.6","-0.684","1.264","-0.684","-1.948"
"57.245","336865.8","7713625.7","-0.693","1.259","-0.693","-1.952"
"5.758","364954.3","7748713.4","-0.736","1.225","-0.736","-1.961"
"42.341","348325.5","7719993","-0.729","1.236","-0.729","-1.965"
"25.405","357809.9","7731200.4","-0.741","1.229","-0.741","-1.970"
"26.082","357532.4","7730618.8","-0.716","1.254","-0.716","-1.970"
"66.052","337788.7","7706702","-0.749","1.222","-0.749","-1.972"
"53.180","339446.8","7716240.4","-0.689","1.285","-0.689","-1.974"
"1.016","365748.2","7752895.5","-0.69","1.286","-0.69","-1.976"
"64.019","336266.2","7707781.9","-0.734","1.242","-0.734","-1.976"
"61.987","336061.2","7709637.8","-0.706","1.272","-0.706","-1.978"
"6.436","364681.4","7748115.7","-0.719","1.26","-0.719","-1.979"
"5.081","364949.6","7749374.4","-0.659","1.323","-0.659","-1.982"
"17.275","360831.7","7738295.3","-0.663","1.319","-0.663","-1.982"
"62.665","335861.1","7709006.7","-0.719","1.264","-0.719","-1.983"
"11.178","362254.7","7744096.7","-0.75","1.234","-0.75","-1.984"
"66.729","338287.9","7706260.5","-0.708","1.277","-0.708","-1.985"
"1.694","365979.3","7752261.3","-0.677","1.31","-0.677","-1.987"
"2.371","366022.1","7751602.1","-0.707","1.281","-0.707","-1.988"
"54.535","338334.7","7715552.2","-0.72","1.268","-0.72","-1.988"
"63.342","335885.6","7708338.8","-0.735","1.254","-0.735","-1.989"
"23.372","358326.8","7732982.8","-0.689","1.302","-0.689","-1.991"
"60.632","337016.6","7710582.1","-0.696","1.295","-0.696","-1.991"
"20.662","358957.6","7735523.6","-0.719","1.273","-0.719","-1.993"
"61.310","336515.8","7710128.6","-0.691","1.301","-0.691","-1.993"
"17.953","360476.3","7737735.4","-0.699","1.295","-0.699","-1.994"
"22.017","358920.9","7734182","-0.76","1.234","-0.76","-1.994"
"34.889","352327.4","7723688.1","-0.713","1.281","-0.713","-1.994"
"45.051","345690.9","7720151.7","-0.719","1.276","-0.719","-1.995"
"22.695","358681.8","7733551.8","-0.707","1.29","-0.707","-1.996"
"40.986","349640.5","7719689.9","-0.722","1.275","-0.722","-1.996"
"4.403","365050.1","7750040.8","-0.688","1.309","-0.688","-1.997"
"19.985","359239.5","7736131.7","-0.75","1.247","-0.75","-1.997"
"21.340","358903.3","7734853.6","-0.729","1.268","-0.729","-1.997"
"9.823","363039.5","7745176.9","-0.753","1.245","-0.753","-1.998"
"32.179","353519.8","7726108.3","-0.708","1.289","-0.708","-1.998"
"32.857","353188.4","7725521.9","-0.732","1.266","-0.732","-1.998"
"38.276","351264.3","7720649.6","-0.731","1.267","-0.731","-1.998"
"41.663","348979","7719837.7","-0.743","1.255","-0.743","-1.998"
"7.113","364256","7747589.5","-0.666","1.334","-0.666","-1.999"
"28.792","355500.5","7728847.9","-0.715","1.284","-0.715","-1.999"
"7.791","363944.6","7746990.2","-0.689","1.311","-0.689","-2.000"
"8.468","363638.5","7746387.8","-0.692","1.308","-0.692","-2.000"
"9.146","363334.7","7745784.7","-0.742","1.258","-0.742","-2.000"
"14.565","361264.6","7740958.6","-0.708","1.292","-0.708","-2.000"
"15.243","361155.2","7740292.9","-0.743","1.257","-0.743","-2.000"
"15.920","361046","7739627.2","-0.704","1.296","-0.704","-2.000"
"16.598","360936.7","7738961.5","-0.707","1.293","-0.707","-2.000"
"26.759","356997.1","7730203.2","-0.685","1.315","-0.685","-2.000"
"27.437","356461.8","7729787.6","-0.731","1.269","-0.731","-2.000"
"29.469","355096.5","7728305.9","-0.704","1.296","-0.704","-2.000"
"30.147","354702.3","7727756.4","-0.708","1.292","-0.708","-2.000"
"33.534","352903.3","7724909.7","-0.676","1.324","-0.676","-2.000"
"36.921","351434.4","7721987.1","-0.694","1.306","-0.694","-2.000"
"67.407","338419.9","7705685.4","-0.712","1.462","-0.712","-2.174"
"0.339","365228.3","7753297.2","-0.683","1.68","-0.683","-2.364"
