"km_round","X","Y","HS","UCL","LCL","HS-UCL"
"26.759","356997.1","7730203.2","41.989","4.989","-4.011","37.000"
"26.082","357532.4","7730618.8","28.361","4.726","-4.137","23.635"
"27.437","356461.8","7729787.6","25.119","5.119","-3.881","20.000"
"28.114","355931","7729366.7","23.025","5.058","-3.926","17.967"
"42.341","348325.5","7719993","21.331","4.626","-4.217","16.705"
"45.728","345013.7","7720158.2","19.739","4.446","-4.157","15.293"
"18.630","360019.9","7737235.6","13","5.004","-3.992","7.996"
"43.018","347697.6","7720193.6","11.726","4.805","-4.095","6.922"
"24.050","357832.4","7732528.2","11.746","4.844","-4.031","6.902"
"41.663","348979","7719837.7","10.97","4.975","-4.018","5.995"
"19.307","359628.8","7736684.5","9.905","4.906","-4.094","5.000"
"40.986","349640.5","7719689.9","10.161","5.171","-3.812","4.990"
"43.696","347022.9","7720225.4","8.95","4.981","-3.951","3.970"
"40.309","350202.6","7719313.8","8.472","4.835","-4.257","3.637"
"23.372","358326.8","7732982.8","5.985","3.993","-3.972","1.991"
"50.470","341496.1","7717741.8","6.205","4.305","-4.245","1.900"
"17.953","360476.3","7737735.4","4.886","4.886","-4.087","0.000"
"45.051","345690.9","7720151.7","4.944","4.944","-4.036","0.000"
"47.761","343907.2","7718612.6","3.83","4.796","-3.896","-0.966"
"66.729","338287.9","7706260.5","4.014","5.006","-3.925","-0.992"
"44.373","346354.7","7720280.4","4.07","5.067","-3.901","-0.996"
"22.695","358681.8","7733551.8","4.117","5.116","-3.868","-0.998"
"28.792","355500.5","7728847.9","4.115","5.115","-3.879","-0.999"
"37.599","351363.8","7721316.3","4.059","5.059","-3.939","-1.000"
"49.793","342098.5","7717918.2","2.626","4.539","-4.07","-1.913"
"48.438","343295.8","7718415.4","2.572","4.486","-4.126","-1.914"
"46.406","344542.6","7719758.8","3.604","5.561","-4.221","-1.956"
"47.083","344239.8","7719163.3","2.861","4.819","-3.991","-1.958"
"19.985","359239.5","7736131.7","3.065","5.062","-3.924","-1.997"
"59.955","337344.4","7711132.9","1.824","4.721","-3.969","-2.897"
"24.727","357750.8","7731872.1","2.156","5.143","-3.819","-2.987"
"59.277","337082.5","7711727.4","0.774","4.684","-4.113","-3.910"
"66.052","337788.7","7706702","0.996","4.939","-3.933","-3.943"
"60.632","337016.6","7710582.1","0.917","4.899","-4.061","-3.982"
"29.469","355096.5","7728305.9","1.128","5.128","-3.872","-4.000"
"52.503","339896.4","7716745.4","-0.294","4.523","-4.147","-4.816"
"61.310","336515.8","7710128.6","-0.915","4.067","-3.903","-4.981"
"20.662","358957.6","7735523.6","0.077","5.059","-3.909","-4.982"
"12.533","361586.9","7742956.3","0.034","5.017","-3.952","-4.983"
"38.276","351264.3","7720649.6","0.046","5.042","-3.951","-4.996"
"67.407","338419.9","7705685.4","-0.238","5.197","-4.586","-5.435"
"51.825","340502.1","7716896.3","-0.391","5.381","-4.238","-5.771"
"25.405","357809.9","7731200.4","-1.031","4.878","-3.986","-5.909"
"22.017","358920.9","7734182","-0.895","5.087","-4.883","-5.982"
"30.147","354702.3","7727756.4","-1.022","4.978","-4.022","-6.000"
"49.115","342746.5","7718058.4","-2.192","4.701","-4.161","-6.893"
"61.987","336061.2","7709637.8","-2.115","4.809","-4.093","-6.924"
"32.857","353188.4","7725521.9","-2.074","4.918","-4.071","-6.992"
"13.210","361475.6","7742290.9","-2.094","4.906","-4.094","-6.999"
"57.922","336946.4","7712989.6","-3.072","4.705","-4.044","-7.776"
"54.535","338334.7","7715552.2","-2.96","4.992","-3.954","-7.952"
"11.855","361820.9","7743578.6","-3.842","4.112","-3.842","-7.954"
"38.954","351043.5","7720012.6","-3.054","4.933","-4.052","-7.987"
"33.534","352903.3","7724909.7","-3.022","4.978","-4.022","-8.000"
"55.213","337712.7","7715294.8","-3.393","5.045","-4.33","-8.438"
"58.600","337208.9","7712390","-4.023","4.821","-4.023","-8.845"
"36.244","351508.9","7722657.4","-4.168","4.711","-4.168","-8.879"
"35.566","351861","7723204","-4.186","4.716","-4.186","-8.902"
"17.275","360831.7","7738295.3","-3.923","4.995","-3.923","-8.919"
"51.148","340911.7","7717423.2","-3.998","4.922","-3.998","-8.920"
"34.211","352619","7724297.1","-3.976","5.024","-3.976","-9.000"
"53.180","339446.8","7716240.4","-4.213","5.658","-4.213","-9.871"
"62.665","335861.1","7709006.7","-5.207","4.706","-4.216","-9.913"
"34.889","352327.4","7723688.1","-4.975","4.996","-3.977","-9.971"
"21.340","358903.3","7734853.6","-4.914","5.073","-3.915","-9.987"
"32.179","353519.8","7726108.3","-4.198","5.79","-4.198","-9.988"
"15.920","361046","7739627.2","-5.02","4.98","-4.02","-10.000"
"16.598","360936.7","7738961.5","-5.91","4.09","-3.91","-10.000"
"53.858","338882.2","7715937.4","-5.136","5.422","-4.176","-10.558"
"65.374","337432.8","7707237","-6.001","4.578","-4.078","-10.579"
"55.890","337554.3","7714707.8","-6.113","4.586","-4.168","-10.699"
"57.245","336865.8","7713625.7","-5.998","4.739","-4.046","-10.737"
"13.888","361374.3","7741624.2","-5.972","5.027","-3.973","-10.999"
"14.565","361264.6","7740958.6","-5.9","5.1","-3.9","-11.000"
"15.243","361155.2","7740292.9","-5.926","5.074","-3.926","-11.000"
"30.824","354308.1","7727207.1","-6.064","4.936","-4.064","-11.000"
"31.502","353913.5","7726658.1","-5.97","5.03","-3.97","-11.000"
"36.921","351434.4","7721987.1","-5.965","5.035","-3.965","-11.000"
"64.697","336789.1","7707406.4","-6.948","4.729","-4.028","-11.677"
"39.631","350744.2","7719410.2","-7.33","4.372","-3.729","-11.702"
"56.567","337319.9","7714098","-7.112","4.621","-4.179","-11.732"
"10.501","362699.8","7744596.6","-6.851","5.078","-4.863","-11.929"
"63.342","335885.6","7708338.8","-7.032","4.9","-4.049","-11.932"
"9.823","363039.5","7745176.9","-6.862","5.129","-3.864","-11.991"
"8.468","363638.5","7746387.8","-7.991","4.009","-3.991","-12.000"
"3.726","365630.6","7750390.2","-7.927","4.544","-4.089","-12.471"
"3.049","365932.9","7750933.6","-8.002","4.66","-4.106","-12.662"
"5.758","364954.3","7748713.4","-7.808","4.94","-3.885","-12.748"
"1.016","365748.2","7752895.5","-8.013","4.83","-4.061","-12.843"
"64.019","336266.2","7707781.9","-7.99","4.854","-4.038","-12.843"
"6.436","364681.4","7748115.7","-7.871","4.992","-3.913","-12.863"
"5.081","364949.6","7749374.4","-8.056","4.824","-4.093","-12.880"
"11.178","362254.7","7744096.7","-7.978","4.917","-4.011","-12.896"
"1.694","365979.3","7752261.3","-7.897","5.018","-3.923","-12.915"
"2.371","366022.1","7751602.1","-8.121","4.798","-4.146","-12.920"
"4.403","365050.1","7750040.8","-7.95","5.03","-3.956","-12.980"
"7.113","364256","7747589.5","-7.959","5.036","-3.961","-12.996"
"0.339","365228.3","7753297.2","-8.037","4.962","-4.492","-13.000"
"7.791","363944.6","7746990.2","-8.037","4.963","-4.037","-13.000"
"9.146","363334.7","7745784.7","-7.92","5.08","-3.92","-13.000"
