"km_round","X","Y","HS","UCL","LCL","HS-UCL"
"28.792","355500.5","7728847.9","4.328","1.33","-0.669","2.998"
"29.469","355096.5","7728305.9","3.333","1.333","-0.667","2.000"
"28.114","355931","7729366.7","3.382","1.385","-0.611","1.996"
"27.437","356461.8","7729787.6","2.333","1.333","-0.667","1.000"
"54.535","338334.7","7715552.2","2.34","1.346","-0.642","0.994"
"53.858","338882.2","7715937.4","2.226","1.266","-0.654","0.960"
"40.309","350202.6","7719313.8","2.074","1.165","-0.654","0.909"
"17.275","360831.7","7738295.3","1.33","1.33","-0.652","0.000"
"17.953","360476.3","7737735.4","1.35","1.35","-0.644","0.000"
"18.630","360019.9","7737235.6","1.343","1.343","-0.656","0.000"
"19.307","359628.8","7736684.5","1.335","1.335","-0.665","0.000"
"26.759","356997.1","7730203.2","1.355","1.355","-0.645","0.000"
"37.599","351363.8","7721316.3","1.327","1.327","-0.673","0.000"
"38.276","351264.3","7720649.6","1.375","1.375","-0.624","0.000"
"40.986","349640.5","7719689.9","1.308","1.308","-0.688","0.000"
"52.503","339896.4","7716745.4","1.321","1.321","-0.606","0.000"
"39.631","350744.2","7719410.2","0.251","1.151","-0.649","-0.900"
"55.213","337712.7","7715294.8","0.287","1.224","-0.651","-0.938"
"50.470","341496.1","7717741.8","0.302","1.252","-0.648","-0.950"
"45.728","345013.7","7720158.2","0.342","1.298","-0.614","-0.956"
"48.438","343295.8","7718415.4","0.339","1.296","-0.618","-0.957"
"51.825","340502.1","7716896.3","0.32","1.282","-0.642","-0.962"
"59.955","337344.4","7711132.9","0.314","1.279","-0.652","-0.966"
"59.277","337082.5","7711727.4","0.387","1.364","-0.59","-0.977"
"49.115","342746.5","7718058.4","0.373","1.358","-0.612","-0.985"
"53.180","339446.8","7716240.4","0.363","1.35","-0.624","-0.987"
"43.018","347697.6","7720193.6","0.307","1.295","-0.682","-0.989"
"43.696","347022.9","7720225.4","0.336","1.329","-0.656","-0.992"
"20.662","358957.6","7735523.6","0.312","1.308","-0.685","-0.996"
"23.372","358326.8","7732982.8","0.358","1.354","-0.637","-0.996"
"12.533","361586.9","7742956.3","0.333","1.329","-0.664","-0.997"
"22.017","358920.9","7734182","0.335","1.332","-0.662","-0.997"
"34.889","352327.4","7723688.1","0.36","1.357","-0.637","-0.997"
"45.051","345690.9","7720151.7","0.34","1.338","-0.658","-0.998"
"16.598","360936.7","7738961.5","0.304","1.304","-0.696","-1.000"
"30.147","354702.3","7727756.4","0.345","1.345","-0.655","-1.000"
"30.824","354308.1","7727207.1","0.372","1.372","-0.628","-1.000"
"31.502","353913.5","7726658.1","0.352","1.352","-0.648","-1.000"
"34.211","352619","7724297.1","0.374","1.374","-0.626","-1.000"
"36.921","351434.4","7721987.1","0.348","1.348","-0.652","-1.000"
"67.407","338419.9","7705685.4","0.432","1.519","-0.655","-1.087"
"49.793","342098.5","7717918.2","-0.641","1.272","-0.641","-1.913"
"3.726","365630.6","7750390.2","-0.627","1.291","-0.627","-1.919"
"65.374","337432.8","7707237","-0.702","1.221","-0.702","-1.923"
"47.761","343907.2","7718612.6","-0.702","1.229","-0.702","-1.932"
"57.922","336946.4","7712989.6","-0.642","1.303","-0.642","-1.944"
"55.890","337554.3","7714707.8","-0.595","1.35","-0.595","-1.945"
"64.697","336789.1","7707406.4","-0.667","1.28","-0.667","-1.946"
"3.049","365932.9","7750933.6","-0.653","1.295","-0.653","-1.948"
"57.245","336865.8","7713625.7","-0.604","1.348","-0.604","-1.952"
"56.567","337319.9","7714098","-0.587","1.369","-0.587","-1.955"
"46.406","344542.6","7719758.8","-0.677","1.279","-0.677","-1.956"
"47.083","344239.8","7719163.3","-0.699","1.259","-0.699","-1.958"
"5.758","364954.3","7748713.4","-0.665","1.296","-0.665","-1.961"
"42.341","348325.5","7719993","-0.668","1.297","-0.668","-1.965"
"58.600","337208.9","7712390","-0.626","1.34","-0.626","-1.966"
"25.405","357809.9","7731200.4","-0.656","1.314","-0.656","-1.970"
"26.082","357532.4","7730618.8","-0.652","1.318","-0.652","-1.970"
"24.050","357832.4","7732528.2","-0.667","1.306","-0.667","-1.972"
"66.052","337788.7","7706702","-0.677","1.294","-0.677","-1.972"
"36.244","351508.9","7722657.4","-0.649","1.324","-0.649","-1.973"
"1.016","365748.2","7752895.5","-0.696","1.28","-0.696","-1.976"
"64.019","336266.2","7707781.9","-0.612","1.364","-0.612","-1.976"
"35.566","351861","7723204","-0.654","1.324","-0.654","-1.978"
"61.987","336061.2","7709637.8","-0.631","1.347","-0.631","-1.978"
"6.436","364681.4","7748115.7","-0.661","1.318","-0.661","-1.979"
"5.081","364949.6","7749374.4","-0.651","1.331","-0.651","-1.982"
"51.148","340911.7","7717423.2","-0.69","1.292","-0.69","-1.982"
"62.665","335861.1","7709006.7","-0.635","1.347","-0.635","-1.983"
"11.178","362254.7","7744096.7","-0.622","1.362","-0.622","-1.984"
"66.729","338287.9","7706260.5","-0.656","1.329","-0.656","-1.985"
"1.694","365979.3","7752261.3","-0.648","1.339","-0.648","-1.987"
"2.371","366022.1","7751602.1","-0.633","1.355","-0.633","-1.988"
"10.501","362699.8","7744596.6","-0.614","1.374","-0.614","-1.988"
"11.855","361820.9","7743578.6","-0.659","1.329","-0.659","-1.988"
"63.342","335885.6","7708338.8","-0.631","1.357","-0.631","-1.989"
"60.632","337016.6","7710582.1","-0.639","1.352","-0.639","-1.991"
"24.727","357750.8","7731872.1","-0.638","1.353","-0.638","-1.992"
"44.373","346354.7","7720280.4","-0.683","1.31","-0.683","-1.993"
"61.310","336515.8","7710128.6","-0.659","1.334","-0.659","-1.993"
