"km_round","X","Y","HS","UCL","LCL","HS-UCL"
"38.276","351264.3","7720649.6","3.301","1.303","-0.695","1.998"
"35.566","351861","7723204","3.296","1.318","-0.661","1.978"
"46.406","344542.6","7719758.8","3.207","1.251","-0.705","1.956"
"37.599","351363.8","7721316.3","2.298","1.298","-0.702","1.000"
"19.985","359239.5","7736131.7","2.269","1.271","-0.726","0.998"
"11.855","361820.9","7743578.6","2.273","1.279","-0.71","0.994"
"45.728","345013.7","7720158.2","2.142","1.186","-0.725","0.956"
"13.888","361374.3","7741624.2","1.274","1.274","-0.726","0.000"
"19.307","359628.8","7736684.5","1.296","1.296","-0.704","0.000"
"34.211","352619","7724297.1","1.264","1.264","-0.736","0.000"
"36.244","351508.9","7722657.4","1.27","1.27","-0.703","0.000"
"38.954","351043.5","7720012.6","1.31","1.31","-0.687","0.000"
"44.373","346354.7","7720280.4","1.265","1.265","-0.727","0.000"
"45.051","345690.9","7720151.7","1.289","1.289","-0.706","0.000"
"47.083","344239.8","7719163.3","1.274","1.274","-0.683","0.000"
"47.761","343907.2","7718612.6","1.273","1.273","-0.659","0.000"
"55.213","337712.7","7715294.8","1.125","1.125","-0.75","0.000"
"56.567","337319.9","7714098","1.22","1.22","-0.735","0.000"
"57.245","336865.8","7713625.7","1.236","1.236","-0.716","0.000"
"59.277","337082.5","7711727.4","1.229","1.229","-0.726","0.000"
"61.310","336515.8","7710128.6","1.255","1.255","-0.737","0.000"
"61.987","336061.2","7709637.8","1.221","1.221","-0.758","0.000"
"62.665","335861.1","7709006.7","1.256","1.256","-0.727","0.000"
"64.019","336266.2","7707781.9","1.207","1.207","-0.769","0.000"
"40.309","350202.6","7719313.8","0.172","1.081","-0.737","-0.909"
"51.825","340502.1","7716896.3","0.257","1.219","-0.705","-0.962"
"55.890","337554.3","7714707.8","0.219","1.191","-0.754","-0.973"
"64.697","336789.1","7707406.4","0.214","1.187","-0.759","-0.973"
"42.341","348325.5","7719993","0.245","1.227","-0.738","-0.983"
"58.600","337208.9","7712390","0.226","1.209","-0.757","-0.983"
"11.178","362254.7","7744096.7","0.281","1.273","-0.711","-0.992"
"54.535","338334.7","7715552.2","0.22","1.214","-0.774","-0.994"
"63.342","335885.6","7708338.8","0.224","1.218","-0.771","-0.994"
"12.533","361586.9","7742956.3","0.289","1.286","-0.708","-0.997"
