"km_round","X","Y","HS","UCL","LCL","HS-UCL"
"45.728","345013.7","7720158.2","55.473","7.681","-7.612","47.792"
"26.759","356997.1","7730203.2","43.888","7.888","-7.112","36.000"
"37.599","351363.8","7721316.3","43.017","8.022","-6.976","34.995"
"28.114","355931","7729366.7","34.815","7.864","-7.109","26.951"
"38.276","351264.3","7720649.6","31.142","8.16","-6.829","22.982"
"27.437","356461.8","7729787.6","28.992","7.993","-7.007","21.000"
"18.630","360019.9","7737235.6","29.037","8.047","-6.946","20.990"
"26.082","357532.4","7730618.8","26.281","8.555","-7.202","17.726"
"19.307","359628.8","7736684.5","24.912","7.913","-8.085","16.999"
"45.051","345690.9","7720151.7","24.932","7.97","-6.996","16.962"
"59.277","337082.5","7711727.4","23.016","8.355","-7.284","14.661"
"40.309","350202.6","7719313.8","21.781","7.233","-7.315","14.548"
"50.470","341496.1","7717741.8","21.654","7.403","-6.847","14.250"
"59.955","337344.4","7711132.9","20.436","6.918","-7.565","13.517"
"42.341","348325.5","7719993","20.233","7.459","-7.28","12.774"
"28.792","355500.5","7728847.9","17.862","7.869","-7.121","9.993"
"43.018","347697.6","7720193.6","16.616","7.717","-8.104","8.899"
"44.373","346354.7","7720280.4","13.681","7.703","-7.243","5.978"
"43.696","347022.9","7720225.4","12.583","7.621","-7.265","4.962"
"46.406","344542.6","7719758.8","13.289","8.398","-7.252","4.891"
"29.469","355096.5","7728305.9","10.764","7.764","-7.236","3.000"
"38.954","351043.5","7720012.6","11.058","8.063","-6.913","2.995"
"60.632","337016.6","7710582.1","10.791","7.804","-7.129","2.987"
"48.438","343295.8","7718415.4","10.409","8.495","-6.813","1.914"
"24.050","357832.4","7732528.2","8.32","8.32","-7.457","0.000"
"17.953","360476.3","7737735.4","5.814","6.811","-7.146","-0.997"
"40.986","349640.5","7719689.9","6.83","7.828","-7.143","-0.998"
"55.213","337712.7","7715294.8","5.963","7.839","-7.162","-1.875"
"49.115","342746.5","7718058.4","6.285","8.254","-7.502","-1.969"
"54.535","338334.7","7715552.2","6.683","8.671","-7.232","-1.988"
"49.793","342098.5","7717918.2","4.612","7.482","-6.868","-2.870"
"47.761","343907.2","7718612.6","4.654","7.551","-6.935","-2.897"
"41.663","348979","7719837.7","4.802","7.8","-7.188","-2.998"
"51.825","340502.1","7716896.3","3.876","7.724","-6.704","-3.847"
"19.985","359239.5","7736131.7","3.894","7.887","-8.087","-3.994"
"47.083","344239.8","7719163.3","3.343","8.237","-7.424","-4.894"
