"km_round","X","Y","HS","UCL","LCL","HS-UCL"
"13.210","361475.6","7742290.9","3.192","1.192","-0.808","2.000"
"12.533","361586.9","7742956.3","3.197","1.204","-0.789","1.993"
"36.921","351434.4","7721987.1","2.219","1.219","-0.781","1.000"
"34.889","352327.4","7723688.1","2.216","1.218","-0.776","0.997"
"61.310","336515.8","7710128.6","2.167","1.171","-0.822","0.996"
"49.115","342746.5","7718058.4","2.142","1.157","-0.812","0.985"
"48.438","343295.8","7718415.4","2.034","1.077","-0.836","0.957"
"17.953","360476.3","7737735.4","1.223","1.223","-0.771","0.000"
"18.630","360019.9","7737235.6","1.191","1.191","-0.808","0.000"
"19.307","359628.8","7736684.5","1.219","1.219","-0.781","0.000"
"22.017","358920.9","7734182","1.225","1.225","-0.769","0.000"
"22.695","358681.8","7733551.8","1.2","1.2","-0.797","0.000"
"28.792","355500.5","7728847.9","1.228","1.228","-0.77","0.000"
"32.179","353519.8","7726108.3","1.202","1.202","-0.796","0.000"
"35.566","351861","7723204","1.201","1.201","-0.777","0.000"
"45.728","345013.7","7720158.2","2.064","2.064","-0.804","0.000"
"54.535","338334.7","7715552.2","1.196","1.196","-0.792","0.000"
"40.309","350202.6","7719313.8","1.028","1.938","-0.79","-0.909"
"53.858","338882.2","7715937.4","0.189","1.149","-0.771","-0.960"
"59.955","337344.4","7711132.9","0.201","1.166","-0.765","-0.966"
"46.406","344542.6","7719758.8","0.211","1.189","-0.767","-0.978"
"42.341","348325.5","7719993","0.202","1.185","-0.78","-0.983"
"43.018","347697.6","7720193.6","0.263","1.252","-0.726","-0.989"
"62.665","335861.1","7709006.7","0.177","1.169","-0.814","-0.991"
"60.632","337016.6","7710582.1","0.213","1.209","-0.783","-0.996"
"28.114","355931","7729366.7","0.2","1.198","-0.799","-0.998"
"38.954","351043.5","7720012.6","0.178","1.176","-0.821","-0.998"
"45.051","345690.9","7720151.7","0.182","1.179","-0.816","-0.998"
"32.857","353188.4","7725521.9","0.216","1.215","-0.783","-0.999"
"38.276","351264.3","7720649.6","0.184","1.183","-0.815","-0.999"
"13.888","361374.3","7741624.2","0.227","1.227","-0.773","-1.000"
"26.759","356997.1","7730203.2","1.17","2.17","-0.83","-1.000"
"27.437","356461.8","7729787.6","1.142","2.142","-0.858","-1.000"
